류, 사과, 후지, 1, 0, 85.0
과채류, 토마토, 대저토마토, 1, 0, 233.33333
과채류, 딸기, 설향, 1, 0, 966.6667
류, 사과, 미얀마, 1, 0, 250.0
류, 감귤, 비가림감귤, 1, 0, 280.0
류, 사과, 미얀마, 1, 0, 151.0
류, 새송이, 새송이버섯, 1, 0, 150.0
류, 사과, 미얀마, 1, 0, 151.0
류, 오렌지, 기타오렌지, 1, 0, 355.0
류, 단감, 부유, 1, 0, 190.0
류, 사과, 미얀마, 1, 0, 101.0
채류, 근대, 적근대, 1, 0, 435.0
류, 사과, 미얀마, 1, 0, 151.0
과채류, 딸기, 설향, 1, 0, 1250.0
채류, 숙주나물, 숙주나물, 0, 0, 162.85715
류, 피망(단고추), 홍피망, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 224.5
류, 포도, 샤인마스캇, 1, 0, 300.0
류, 사과, 미얀마, 1, 0, 109.5
, 고구마, 기타, 1, 0, 140.0
과채류, 딸기, 설향, 1, 0, 1100.0
류, 호두, 기타호두, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 1650.0
과채류, 딸기, 설향, 1, 0, 900.0
류, 새송이, 새송이버섯, 1, 0, 250.0
류, 감귤, 조생귤, 1, 0, 240.0
류, 피망(단고추), 홍피망, 1, 0, 388.8889
류, 사과, 미얀마, 1, 0, 266.5
류, 식용허브, 타이바질, 1, 0, 6240.0
류, 단감, 부유, 1, 0, 419.0
과채류, 딸기, 설향, 1, 0, 1170.0
류, 사과, 기타사과, 1, 0, 150.0
류, 사과, 로얄부사, 1, 0, 530.0
류, 사과, 후지, 1, 0, 100.0
과채류, 딸기, 설향, 1, 0, 1250.0
류, 새송이, 새송이버섯, 1, 0, 250.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 사과, 미얀마, 1, 0, 129.5
류, 사과, 미얀마, 1, 0, 174.5
채소류, 풋고추, 청양, 1, 0, 650.0
류, 감귤, 조생귤, 1, 0, 262.0
류, 사과, 미얀마, 1, 0, 164.5
류, 감귤, 조생귤, 1, 0, 174.0
과채류, 딸기, 설향, 1, 0, 1650.0
류, 새송이, 새송이버섯, 1, 0, 250.0
류, 사과, 미얀마, 1, 0, 270.0
류, 사과, 후지, 1, 0, 320.0
과채류, 딸기, 설향, 1, 0, 1200.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 사과, 미얀마, 1, 0, 280.0
류, 사과, 미얀마, 1, 0, 150.0
류, 바나나, 바나나, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 350.0
류, 마, 기타마, 1, 0, 196.0
과채류, 딸기, 설향, 1, 0, 750.0
류, 호박, 쥬키니호박, 1, 0, 250.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 사과, 미얀마, 1, 0, 161.5
류, 사과, 후지, 1, 0, 186.0
과채류, 딸기, 설향, 1, 0, 1050.0
류, 사과, 후지, 1, 0, 325.0
과채류, 토마토, 토마토, 1, 0, 80.0
과채류, 방울토마토, 대추방울, 1, 0, 500.0
과채류, 토마토, 토마토, 1, 0, 180.0
과채류, 토마토, 토마토, 1, 0, 240.0
과채류, 토마토, 토마토, 1, 0, 210.0
과채류, 토마토, 토마토, 1, 0, 280.0
류, 사과, 미얀마, 1, 0, 84.5
류, 참나물, 참나물, 1, 0, 175.0
류, 사과, 미얀마, 1, 0, 274.5
류, 사과, 미얀마, 1, 0, 119.5
류, 사과, 미얀마, 1, 0, 269.5
류, 당근, 당근, 1, 0, 150.0
류, 당근, 당근, 1, 0, 200.0
류, 당근, 당근, 1, 0, 280.0
류, 사과, 미얀마, 1, 0, 299.0
류, 사과, 미얀마, 1, 0, 334.5
류, 사과, 미얀마, 1, 0, 324.5
류, 사과, 미얀마, 1, 0, 309.5
류, 사과, 미야비, 1, 0, 104.5
류, 사과, 미야비, 1, 0, 184.5
채류, 양배추, 양배추, 1, 0, 75.0
류, 파프리카, 빨강파프리카, 1, 0, 264.0
류, 새송이, 새송이버섯, 1, 0, 410.0
류, 곶감, 곶감, 1, 0, 750.0
류, 곶감, 곶감, 1, 0, 800.0
류, 곶감, 곶감, 1, 0, 1000.0
류, 곶감, 곶감, 1, 0, 1166.6666
류, 곶감, 곶감, 1, 0, 1000.0
류, 파프리카, 빨강파프리카, 1, 0, 240.0
채류, 갓, 청갓, 1, 0, 50.0
류, 사과, 미얀마, 1, 0, 281.0
류, 사과, 미얀마, 1, 0, 295.5
류, 사과, 미얀마, 1, 0, 320.5
류, 사과, 미얀마, 1, 0, 294.5
류, 사과, 미얀마, 1, 0, 107.5
류, 사과, 미얀마, 1, 0, 240.0
류, 사과, 미얀마, 1, 0, 119.5
류, 사과, 미얀마, 1, 0, 119.5
류, 사과, 미얀마, 1, 0, 169.5
류, 감귤, 조생귤, 1, 0, 156.0
류, 사과, 미얀마, 1, 0, 60.0
과채류, 딸기, 설향, 1, 0, 1150.0
류, 사과, 미야비, 1, 0, 400.0
류, 감귤, 조생귤, 1, 0, 280.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 775.0
류, 사과, 미얀마, 1, 0, 207.5
채소류, 풋고추, 청양, 1, 0, 650.0
채소류, 쪽파, 쪽파, 1, 0, 260.0
채소류, 풋고추, 청양, 1, 0, 910.0
과채류, 딸기, 설향, 1, 0, 1250.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 피망(단고추), 피망, 1, 0, 1100.0
과채류, 딸기, 설향, 1, 0, 950.0
류, 감귤, 조생귤, 1, 0, 290.0
류, 만감, 한라봉, 1, 0, 266.66666
과채류, 딸기, 설향, 1, 0, 830.0
류, 피망(단고추), 홍피망, 1, 0, 200.0
류, 감귤, 조생귤, 1, 0, 172.0
류, 사과, 미얀마, 1, 0, 119.5
류, 피망(단고추), 홍피망, 1, 0, 388.8889
류, 포도, 샤인마스캇, 1, 0, 350.0
류, 만감, 한라봉, 1, 0, 266.66666
채소류, 풋고추, 청양, 1, 0, 650.0
류, 감귤, 조생귤, 1, 0, 280.0
과채류, 딸기, 설향, 1, 0, 1550.0
과채류, 딸기, 설향, 1, 0, 1000.0
과채류, 딸기, 설향, 1, 0, 900.0
류, 사과, 미야비, 1, 0, 440.0
류, 사과, 미얀마, 1, 0, 271.0
류, 사과, 미얀마, 1, 0, 101.0
과채류, 딸기, 설향, 1, 0, 900.0
류, 사과, 미얀마, 1, 0, 151.0
류, 대추, 건대추, 1, 0, 602.0
류, 사과, 미얀마, 1, 0, 285.0
과채류, 방울토마토, 대추방울, 1, 0, 430.0
류, 감귤, 기타감귤, 1, 0, 110.0
과채류, 딸기, 설향, 1, 0, 1850.0
작물류, 참당귀, 참당귀, 1, 0, 2160.0
류, 감귤, 조생귤, 1, 0, 260.0
류, 사과, 미얀마, 1, 0, 194.5
과채류, 딸기, 설향, 1, 0, 860.0
류, 새송이, 새송이버섯, 1, 0, 250.0
류, 새싹, 새싹, 1, 0, 940.0
류, 사과, 미얀마, 1, 0, 181.5
채류, 부추, 일반부추, 1, 0, 447.5
류, 단감, 부유, 1, 0, 220.0
과채류, 딸기, 설향, 1, 0, 650.0
류, 단감, 부유, 1, 0, 220.0
과채류, 딸기, 설향, 1, 0, 1850.0
류, 새송이, 새송이버섯, 1, 0, 150.0
류, 사과, 미얀마, 1, 0, 309.5
채류, 고수, 고수, 1, 0, 2800.0
류, 사과, 미얀마, 1, 0, 330.0
, 고구마, 기타, 1, 0, 170.0
과채류, 딸기, 설향, 1, 0, 560.0
류, 오이, 백다다기, 1, 0, 470.0
류, 단감, 부유, 1, 0, 120.0
류, 감귤, 조생귤, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 289.5
과채류, 딸기, 설향, 1, 0, 1020.0
류, 감귤, 조생귤, 1, 0, 234.0
류, 오이, 백다다기, 1, 0, 426.66666
류, 감귤, 조생귤, 1, 0, 240.0
류, 바나나, 바나나, 1, 0, 200.0
류, 치커리, 치커리, 1, 0, 435.0
류, 새송이, 새송이버섯, 1, 0, 250.0
류, 사과, 미얀마, 1, 0, 294.5
류, 사과, 미얀마, 1, 0, 206.5
류, 사과, 후지, 1, 0, 110.0
과채류, 딸기, 설향, 1, 0, 1250.0
과채류, 딸기, 설향, 1, 0, 1050.0
류, 호두, 기타호두, 1, 0, 660.0
과채류, 딸기, 설향, 1, 0, 1400.0
류, 오이, 백다다기, 1, 0, 410.0
과채류, 딸기, 설향, 1, 0, 1650.0
류, 사과, 후지, 1, 0, 130.0
과채류, 방울토마토, 대추방울, 1, 0, 485.0
류, 사과, 미얀마, 1, 0, 169.5
채류, 달래, 달래, 1, 0, 1510.0
과채류, 딸기, 설향, 1, 0, 1650.0
류, 사과, 미얀마, 1, 0, 334.0
류, 새송이, 새송이버섯, 1, 0, 250.0
류, 감귤, 기타감귤, 1, 0, 84.0
과채류, 딸기, 설향, 1, 0, 1400.0
류, 단감, 부유, 1, 0, 260.0
류, 만감, 한라봉, 1, 0, 466.66666
채류, 청경채, 청경채, 1, 0, 660.0
류, 사과, 미얀마, 1, 0, 165.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 호박, 쥬키니호박, 1, 0, 310.0
류, 파프리카, 파프리카, 1, 0, 940.0
류, 새송이, 새송이버섯, 1, 0, 150.0
류, 사과, 미얀마, 1, 0, 219.5
과채류, 딸기, 설향, 1, 0, 1650.0
류, 사과, 미얀마, 1, 0, 319.5
류, 루꼴라, 루꼴라, 1, 0, 1900.0
류, 사과, 미얀마, 1, 0, 224.5
류, 만감, 한라봉, 1, 0, 466.66666
과채류, 딸기, 설향, 1, 0, 970.0
류, 감귤, 비가림감귤, 1, 0, 100.0
류, 단감, 부유, 1, 0, 260.0
채류, 근대, 적근대, 1, 0, 435.0
류, 사과, 미얀마, 1, 0, 344.5
류, 바나나, 바나나, 1, 0, 200.0
채류, 부추, 일반부추, 1, 0, 447.5
과채류, 딸기, 설향, 1, 0, 1400.0
류, 새송이, 새송이버섯, 1, 0, 250.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 만감, 한라봉, 1, 0, 533.3333
류, 사과, 미얀마, 1, 0, 224.5
류, 사과, 미얀마, 1, 0, 271.5
채류, 숙주나물, 숙주나물, 0, 0, 162.85715
과채류, 딸기, 기타딸기, 1, 0, 290.0
류, 감귤, 비가림감귤, 1, 0, 100.0
류, 새송이, 새송이버섯, 1, 0, 250.0
류, 사과, 미얀마, 1, 0, 290.0
과채류, 딸기, 설향, 1, 0, 1050.0
류, 식용허브, 타이바질, 1, 0, 6240.0
류, 사과, 로얄부사, 1, 0, 570.0
류, 사과, 미얀마, 1, 0, 352.5
류, 사과, 후지, 1, 0, 290.0
류, 만감, 한라봉, 1, 0, 533.3333
류, 새송이, 새송이버섯, 1, 0, 250.0
류, 파프리카, 파프리카, 1, 0, 940.0
류, 사과, 미얀마, 1, 0, 269.5
과채류, 딸기, 설향, 1, 0, 1200.0
류, 사과, 후지, 1, 0, 290.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 사과, 후지, 1, 0, 232.0
류, 바나나, 기타바나나, 1, 0, 200.0
류, 감귤, 비가림감귤, 1, 0, 120.0
류, 사과, 미얀마, 1, 0, 435.0
류, 새송이, 새송이버섯, 1, 0, 250.0
류, 만감, 한라봉, 1, 0, 400.0
류, 사과, 미얀마, 1, 0, 250.0
류, 마, 기타마, 1, 0, 235.0
류, 바나나, 기타바나나, 1, 0, 200.0
류, 감귤, 비가림감귤, 1, 0, 120.0
류, 만감, 한라봉, 1, 0, 466.66666
류, 새송이, 새송이버섯, 1, 0, 250.0
류, 사과, 미얀마, 1, 0, 135.5
류, 사과, 미얀마, 1, 0, 300.0
류, 표고버섯, 표고버섯, 1, 0, 575.0
류, 표고버섯, 표고버섯, 1, 0, 625.0
류, 표고버섯, 표고버섯, 1, 0, 625.0
류, 표고버섯, 표고버섯, 1, 0, 575.0
류, 표고버섯, 표고버섯, 1, 0, 625.0
류, 표고버섯, 표고버섯, 1, 0, 575.0
류, 표고버섯, 표고버섯, 1, 0, 650.0
류, 표고버섯, 표고버섯, 1, 0, 575.0
류, 사과, 미야비, 1, 0, 214.5
류, 사과, 미야비, 1, 0, 264.5
류, 사과, 미야비, 1, 0, 279.5
류, 사과, 미야비, 1, 0, 231.5
류, 사과, 미얀마, 1, 0, 69.5
류, 사과, 미야비, 1, 0, 299.5
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 200.0
류, 사과, 미야비, 1, 0, 349.5
류, 사과, 미얀마, 1, 0, 94.5
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 187.5
채소류, 풋고추, 청양, 1, 0, 400.0
류, 새송이, 새송이버섯, 1, 0, 400.0
채류, 시금치, 시금치, 1, 0, 110.0
채류, 시금치, 시금치, 1, 0, 110.0
채류, 고구마순, 건고구마순, 1, 0, 425.0
채소류, 풋고추, 청양, 1, 0, 766.0
류, 파프리카, 빨강파프리카, 1, 0, 220.0
류, 표고버섯, 표고버섯, 1, 0, 850.0
류, 표고버섯, 표고버섯, 1, 0, 1460.0
류, 곶감, 곶감, 1, 0, 1250.0
류, 사과, 미얀마, 1, 0, 220.0
류, 사과, 미얀마, 1, 0, 95.0
류, 사과, 미얀마, 1, 0, 224.5
류, 사과, 미얀마, 1, 0, 110.5
류, 사과, 미얀마, 1, 0, 215.0
류, 사과, 미얀마, 1, 0, 115.5
류, 사과, 미얀마, 1, 0, 244.5
류, 사과, 미얀마, 1, 0, 286.5
류, 사과, 미얀마, 1, 0, 144.5
류, 사과, 미얀마, 1, 0, 300.0
과채류, 딸기, 설향, 1, 0, 1600.0
류, 사과, 미야비, 1, 0, 370.0
류, 사과, 미얀마, 1, 0, 162.5
과채류, 딸기, 설향, 1, 0, 1450.0
류, 만감, 한라봉, 1, 0, 266.66666
류, 만감, 한라봉, 1, 0, 266.66666
류, 사과, 미얀마, 1, 0, 203.0
류, 사과, 미야비, 1, 0, 370.0
류, 포도, 샤인마스캇, 1, 0, 800.0
류, 사과, 미얀마, 1, 0, 221.0
류, 사과, 미얀마, 1, 0, 365.0
류, 사과, 미얀마, 1, 0, 196.5
류, 감귤, 조생귤, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 900.0
과채류, 딸기, 설향, 1, 0, 700.0
류, 배, 기타배, 1, 0, 184.66667
과채류, 딸기, 설향, 1, 0, 1300.0
과채류, 딸기, 설향, 1, 0, 700.0
과채류, 딸기, 설향, 1, 0, 850.0
류, 사과, 미얀마, 1, 0, 269.5
류, 배, 기타배, 1, 0, 183.6
류, 포도, 샤인마스캇, 1, 0, 350.0
류, 바나나, 바나나, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 94.5
류, 사과, 미얀마, 1, 0, 105.0
류, 단감, 부유, 1, 0, 260.0
류, 감귤, 조생귤, 1, 0, 280.0
류, 감귤, 조생귤, 1, 0, 186.0
과채류, 딸기, 설향, 1, 0, 1280.0
과채류, 딸기, 설향, 1, 0, 850.0
채류, 시금치, 시금치, 1, 0, 172.5
류, 감귤, 기타감귤, 1, 0, 78.0
과채류, 딸기, 설향, 1, 0, 1050.0
과채류, 딸기, 설향, 1, 0, 900.0
과채류, 토마토, 기타토마토, 1, 0, 90.0
류, 사과, 미얀마, 1, 0, 129.5
류, 포도, 샤인마스캇, 1, 0, 625.0
류, 바나나, 바나나, 1, 0, 200.0
류, 사과, 후지, 1, 0, 290.0
류, 사과, 미얀마, 1, 0, 130.0
류, 바나나, 기타바나나, 1, 0, 223.07692
과채류, 딸기, 설향, 1, 0, 600.0
류, 사과, 미얀마, 1, 0, 163.0
류, 감귤, 조생귤, 1, 0, 140.0
류, 감귤, 조생귤, 1, 0, 144.0
류, 사과, 미얀마, 1, 0, 279.5
류, 바나나, 기타바나나, 1, 0, 223.07692
류, 사과, 미얀마, 1, 0, 334.5
류, 포도, 샤인마스캇, 1, 0, 350.0
과채류, 딸기, 설향, 1, 0, 1280.0
과채류, 딸기, 설향, 1, 0, 1350.0
과채류, 딸기, 설향, 1, 0, 1350.0
류, 표고버섯, 표고버섯, 1, 0, 625.0
과채류, 방울토마토, 대추방울, 1, 0, 500.0
과채류, 딸기, 설향, 1, 0, 1320.0
류, 포도, 샤인마스캇, 1, 0, 625.0
류, 표고버섯, 표고버섯, 1, 0, 625.0
류, 사과, 후지, 1, 0, 352.0
과채류, 딸기, 설향, 1, 0, 1000.0
과채류, 딸기, 설향, 1, 0, 1400.0
과채류, 딸기, 설향, 1, 0, 600.0
과채류, 딸기, 설향, 1, 0, 1550.0
 해조류, 파래, 매생이, 1, 0, 225.0
류, 바나나, 기타바나나, 1, 0, 223.07692
류, 새송이, 새송이버섯, 1, 0, 250.0
과채류, 딸기, 설향, 1, 0, 1100.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 사과, 미얀마, 1, 0, 119.5
과채류, 딸기, 설향, 1, 0, 1050.0
류, 사과, 미얀마, 1, 0, 116.5
류, 사과, 미얀마, 1, 0, 127.5
과채류, 딸기, 설향, 1, 0, 1150.0
류, 포도, 샤인마스캇, 1, 0, 350.0
류, 새송이, 새송이버섯, 1, 0, 250.0
과채류, 딸기, 기타딸기, 1, 0, 450.0
류, 만감, 기타만감, 1, 0, 580.0
류, 바나나, 기타바나나, 1, 0, 223.07692
류, 표고버섯, 표고버섯, 1, 0, 625.0
류, 사과, 미야비, 1, 0, 394.5
과채류, 딸기, 설향, 1, 0, 1270.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 표고버섯, 표고버섯, 1, 0, 625.0
류, 사과, 미얀마, 1, 0, 104.5
류, 사과, 후지, 1, 0, 270.0
류, 오이, 기타오이, 1, 0, 700.0
류, 바나나, 기타바나나, 1, 0, 223.07692
류, 사과, 미얀마, 1, 0, 194.5
과채류, 딸기, 설향, 1, 0, 1000.0
류, 단감, 부유, 1, 0, 142.0
류, 감귤, 조생귤, 1, 0, 126.0
류, 새싹, 새싹, 1, 0, 940.0
류, 감귤, 조생귤, 1, 0, 200.0
류, 파인애플, 파인애플, 0, 0, 200.0
류, 배, 신고, 1, 0, 80.0
류, 표고버섯, 표고버섯, 1, 0, 625.0
채류, 머위대, 생머위대, 1, 0, 480.0
과채류, 딸기, 설향, 1, 0, 1100.0
과채류, 딸기, 설향, 1, 0, 750.0
류, 사과, 후지, 1, 0, 100.0
류, 포도, 샤인마스캇, 1, 0, 825.0
채류, 고수, 고수, 1, 0, 2800.0
류, 오이, 백다다기, 1, 0, 520.0
류, 사과, 미얀마, 1, 0, 149.5
류, 사과, 미얀마, 1, 0, 153.0
과채류, 딸기, 설향, 1, 0, 780.0
, 고구마, 기타, 1, 0, 175.0
류, 감귤, 기타감귤, 1, 0, 62.0
류, 파인애플, 파인애플, 0, 0, 200.0
류, 표고버섯, 표고버섯, 1, 0, 575.0
류, 사과, 미얀마, 1, 0, 165.5
류, 사과, 후지, 1, 0, 300.0
류, 오이, 백다다기, 1, 0, 400.0
과채류, 딸기, 설향, 1, 0, 1120.0
류, 표고버섯, 표고버섯, 1, 0, 625.0
류, 단감, 부유, 1, 0, 120.0
과채류, 딸기, 설향, 1, 0, 1100.0
류, 치커리, 치커리, 1, 0, 435.0
과채류, 딸기, 설향, 1, 0, 1500.0
류, 사과, 미얀마, 1, 0, 149.0
류, 파인애플, 파인애플, 0, 0, 200.0
류, 사과, 미얀마, 1, 0, 224.5
과채류, 딸기, 설향, 1, 0, 813.3333
류, 감귤, 조생귤, 1, 0, 256.0
류, 표고버섯, 표고버섯, 1, 0, 575.0
류, 감귤, 조생귤, 1, 0, 230.0
과채류, 딸기, 설향, 1, 0, 880.0
채류, 달래, 달래, 1, 0, 1510.0
류, 포도, 샤인마스캇, 1, 0, 825.0
류, 오이, 백다다기, 1, 0, 500.0
류, 바나나, 기타바나나, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 56.5
류, 사과, 미야비, 1, 0, 402.0
과채류, 딸기, 설향, 1, 0, 850.0
류, 표고버섯, 표고버섯, 1, 0, 650.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 사과, 미야비, 1, 0, 399.5
채류, 청경채, 청경채, 1, 0, 660.0
류, 표고버섯, 표고버섯, 1, 0, 575.0
류, 오이, 백다다기, 1, 0, 360.0
류, 포도, 청포도, 1, 0, 565.0
류, 사과, 미얀마, 1, 0, 194.5
류, 바나나, 기타바나나, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 1150.0
류, 루꼴라, 루꼴라, 1, 0, 1900.0
류, 감귤, 조생귤, 1, 0, 150.0
류, 사과, 후지, 1, 0, 103.0
류, 오이, 백다다기, 1, 0, 450.0
류, 사과, 미얀마, 1, 0, 68.0
류, 사과, 미얀마, 1, 0, 99.5
과채류, 딸기, 설향, 1, 0, 1360.0
류, 감귤, 조생귤, 1, 0, 150.0
류, 사과, 미얀마, 1, 0, 52.5
류, 오이, 기타오이, 1, 0, 700.0
채류, 근대, 적근대, 1, 0, 435.0
류, 사과, 미얀마, 1, 0, 225.0
류, 사과, 미얀마, 1, 0, 84.5
채류, 숙주나물, 숙주나물, 0, 0, 162.85715
류, 표고버섯, 표고버섯, 1, 0, 1450.0
류, 곶감, 곶감, 1, 0, 1187.5
류, 사과, 미얀마, 1, 0, 79.5
류, 식용허브, 타이바질, 1, 0, 6240.0
류, 사과, 미얀마, 1, 0, 216.5
류, 곶감, 곶감, 1, 0, 875.0
채류, 청경채, 청경채, 1, 0, 237.5
채류, 시금치, 시금치, 1, 0, 120.0
채류, 시금치, 시금치, 1, 0, 120.0
채소류, 풋고추, 청초, 1, 0, 702.0
류, 표고버섯, 표고버섯, 1, 0, 200.0
류, 표고버섯, 표고버섯, 1, 0, 330.0
류, 사과, 미얀마, 1, 0, 330.0
류, 사과, 미얀마, 1, 0, 284.5
류, 사과, 미얀마, 1, 0, 100.0
류, 사과, 미얀마, 1, 0, 147.0
류, 사과, 미얀마, 1, 0, 162.5
류, 사과, 미얀마, 1, 0, 149.5
류, 사과, 미얀마, 1, 0, 185.0
류, 사과, 미얀마, 1, 0, 249.5
류, 사과, 미얀마, 1, 0, 84.5
류, 사과, 미얀마, 1, 0, 64.5
류, 사과, 미얀마, 1, 0, 266.0
과채류, 딸기, 장희, 1, 0, 300.0
류, 사과, 미야비, 1, 0, 560.0
류, 사과, 미얀마, 1, 0, 200.0
류, 만감, 한라봉, 1, 0, 260.0
과채류, 딸기, 장희, 1, 0, 600.0
류, 만감, 한라봉, 1, 0, 260.0
류, 만감, 한라봉, 1, 0, 260.0
류, 만감, 한라봉, 1, 0, 260.0
류, 사과, 미야비, 1, 0, 560.0
류, 만감, 한라봉, 1, 0, 266.66666
과채류, 딸기, 설향, 1, 0, 1000.0
과채류, 딸기, 설향, 1, 0, 1400.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 사과, 미얀마, 1, 0, 161.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 감귤, 조생귤, 1, 0, 190.0
류, 사과, 미얀마, 1, 0, 176.5
과채류, 딸기, 설향, 1, 0, 1300.0
과채류, 딸기, 설향, 1, 0, 1100.0
류, 사과, 미얀마, 1, 0, 184.5
류, 사과, 미얀마, 1, 0, 285.5
과채류, 딸기, 설향, 1, 0, 1300.0
과채류, 딸기, 설향, 1, 0, 1250.0
류, 사과, 미얀마, 1, 0, 202.5
과채류, 딸기, 설향, 1, 0, 1250.0
류, 오이, 백다다기, 1, 0, 560.0
채류, 부추, 일반부추, 1, 0, 577.5
류, 바나나, 바나나, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 171.0
류, 오이, 기타오이, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 1600.0
과채류, 토마토, 기타토마토, 1, 0, 130.0
류, 오이, 백다다기, 1, 0, 370.0
류, 감귤, 조생귤, 1, 0, 250.0
과채류, 딸기, 설향, 1, 0, 1600.0
류, 사과, 미얀마, 1, 0, 149.0
류, 사과, 미얀마, 1, 0, 151.0
류, 사과, 미얀마, 1, 0, 198.0
과채류, 딸기, 설향, 1, 0, 1600.0
과채류, 딸기, 설향, 1, 0, 600.0
류, 오이, 백다다기, 1, 0, 500.0
