류, 감귤, 조생귤, 1, 0, 200.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 675.0
류, 감귤, 조생귤, 1, 0, 300.0
과채류, 토마토, 토마토, 1, 0, 170.0
류, 오이, 취청, 1, 0, 580.0
과채류, 방울토마토, 대추방울, 1, 0, 250.0
류, 팽이버섯, 팽이1호, 1, 0, 290.0
류, 오이, 백다다기, 1, 0, 427.77777
채소류, 쪽파, 깐쪽파, 1, 0, 420.0
류, 사과, 미얀마, 1, 0, 151.0
과채류, 방울토마토, 대추방울, 1, 0, 300.0
류, 사과, 미얀마, 1, 0, 270.0
류, 사과, 미얀마, 1, 0, 238.66667
류, 곶감, 기타곶감, 1, 0, 400.0
류, 포도, 샤인마스캇, 1, 0, 650.0
채류, 봄동배추, 봄동배추, 1, 0, 146.66667
채소류, 대파, 대파, 1, 0, 272.0
과채류, 딸기, 설향, 1, 0, 1000.0
과채류, 토마토, 마스카라, 1, 0, 200.0
류, 사과, 후지, 1, 0, 300.0
류, 팽이버섯, 팽이1호, 1, 0, 375.0
과채류, 토마토, 완숙토마토, 1, 0, 200.0
류, 팽이버섯, 팽이1호, 1, 0, 290.0
류, 만감, 기타만감, 1, 0, 600.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 675.0
과채류, 토마토, 완숙토마토, 1, 0, 272.0
류, 감귤, 조생귤, 1, 0, 250.0
과채류, 딸기, 금실, 1, 0, 1200.0
채류, 깻잎, 깻잎, 1, 0, 1075.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 162.5
류, 사과, 후지, 1, 0, 290.0
류, 고사리, 기타고사리, 1, 0, 1000.0
, 고구마, 기타, 1, 0, 227.0
류, 단감, 기타단감, 1, 0, 158.0
류, 표고버섯, 생표고, 1, 0, 330.0
류, 만감, 기타만감, 1, 0, 526.6667
채류, 시금치, 시금치, 1, 0, 320.0
류, 오렌지, 네블, 1, 0, 423.52942
류, 감귤, 조생귤, 1, 0, 200.0
채류, 깻잎, 깻잎순, 1, 0, 400.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 192.5
채소류, 꽈리고추, 꽈리고추, 1, 0, 675.0
과채류, 토마토, 완숙토마토, 1, 0, 272.0
, 고구마, 기타, 1, 0, 220.0
채류, 깻잎, 깻잎, 1, 0, 516.6667
채소류, 풋고추, 청양, 1, 0, 490.0
과채류, 딸기, 설향, 1, 0, 1350.0
류, 새송이, 새송이버섯, 1, 0, 340.0
류, 팽이버섯, 팽이1호, 1, 0, 290.0
류, 사과, 미얀마, 1, 0, 199.0
류, 오렌지, 네블, 1, 0, 411.7647
류, 배, 신고, 1, 0, 240.0
류, 포도, 샤인마스캇, 1, 0, 560.0
류, 오이, 취청, 1, 0, 568.0
류, 표고버섯, 생표고, 1, 0, 330.0
과채류, 딸기, 금실, 1, 0, 1740.0
과채류, 딸기, 설향, 1, 0, 900.0
, 감자, 기타감자, 1, 0, 185.0
채소류, 풋고추, 청양, 1, 0, 860.0
류, 양송이, 양송이, 1, 0, 400.0
과채류, 토마토, 토마토, 1, 0, 170.0
류, 감귤, 기타감귤, 1, 0, 200.0
류, 팽이버섯, 팽이1호, 1, 0, 290.0
채류, 깻잎, 기타깻잎, 1, 0, 925.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 725.0
류, 무, 세척무, 1, 0, 70.0
채류, 상추, 꽃적상추, 1, 0, 200.0
채소류, 대파, 대파, 1, 0, 285.0
과채류, 딸기, 설향, 1, 0, 660.0
류, 단감, 차랑, 1, 0, 50.0
류, 포도, 샤인마스캇, 1, 0, 712.5
류, 사과, 후지, 1, 0, 346.5
류, 오렌지, 네블, 1, 0, 429.41177
류, 표고버섯, 생표고, 1, 0, 330.0
류, 감귤, 조생귤, 1, 0, 224.0
류, 표고버섯, 표고버섯, 1, 0, 450.0
류, 사과, 후지, 1, 0, 336.0
채류, 부추, 일반부추, 1, 0, 860.0
류, 팽이버섯, 팽이1호, 1, 0, 290.0
채류, 깻잎, 깻잎, 1, 0, 683.3333
과채류, 딸기, 설향, 1, 0, 700.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 725.0
류, 감귤, 조생귤, 1, 0, 80.0
채류, 시금치, 시금치, 1, 0, 330.0
류, 감귤, 조생귤, 1, 0, 230.0
류, 표고버섯, 표고버섯, 1, 0, 400.0
류, 사과, 미얀마, 1, 0, 205.5
과채류, 방울토마토, 대추방울, 1, 0, 360.0
류, 사과, 후지, 1, 0, 345.0
과채류, 토마토, 완숙토마토, 1, 0, 200.0
류, 버찌, 버찌, 0, 0, 560.0
채소류, 쪽파, 깐쪽파, 1, 0, 400.0
과채류, 방울토마토, 방울토마토, 1, 0, 120.0
, 고구마, 붉은고구마, 1, 0, 156.0
과채류, 딸기, 설향, 1, 0, 800.0
과채류, 딸기, 설향, 1, 0, 400.0
류, 표고버섯, 표고버섯, 1, 0, 850.0
류, 파프리카, 노랑파프리카, 1, 0, 740.0
채류, 동초, 동초, 1, 0, 112.5
채류, 상추, 적상추, 1, 0, 570.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 725.0
과채류, 토마토, 완숙토마토, 1, 0, 200.0
류, 팽이버섯, 팽이1호, 1, 0, 290.0
과채류, 방울토마토, 송이토마토, 1, 0, 500.0
채류, 시금치, 시금치, 1, 0, 280.0
류, 수수, 수수, 1, 0, 464.0
류, 사과, 미얀마, 1, 0, 247.33333
과채류, 딸기, 설향, 1, 0, 800.0
류, 배, 신고, 1, 0, 146.66667
류, 사과, 미얀마, 1, 0, 195.0
류, 호박, 애호박, 1, 0, 500.0
류, 단감, 부유, 1, 0, 150.0
류, 버찌, 버찌, 0, 0, 560.0
과채류, 딸기, 설향, 1, 0, 1120.0
류, 포도, 샤인마스캇, 1, 0, 425.0
과채류, 토마토, 토마토, 1, 0, 960.0
채소류, 양파, 양파, 0, 0, 106.666664
류, 취나물, 취나물, 1, 0, 438.75
류, 감귤, 조생귤, 1, 0, 140.0
류, 팽이버섯, 팽이1호, 1, 0, 290.0
채소류, 쪽파, 쪽파, 1, 0, 250.0
채류, 깻잎, 깻잎, 1, 0, 583.3333
류, 오이, 취청, 1, 0, 590.0
채류, 달래, 달래, 1, 0, 1500.0
채류, 상추, 기타상추, 1, 0, 52.5
류, 사과, 후지, 1, 0, 375.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 사과, 미얀마, 1, 0, 267.0
류, 표고버섯, 생표고, 1, 0, 330.0
류, 감귤, 조생귤, 1, 0, 78.0
류, 감귤, 천혜향, 1, 0, 455.0
과채류, 토마토, 토마토, 1, 0, 300.0
채소류, 대파, 대파, 1, 0, 230.0
과채류, 딸기, 싼타, 1, 0, 1150.0
채소류, 대파, 대파, 1, 0, 120.0
채류, 쑥갓, 쑥갓, 1, 0, 468.0
류, 파프리카, 노랑파프리카, 1, 0, 1000.0
채류, 부추, 일반부추, 1, 0, 720.0
과채류, 딸기, 설향, 1, 0, 1400.0
류, 기타, 라디초우, 1, 0, 362.5
채소류, 양파, 양파, 0, 0, 106.666664
류, 감귤, 조생귤, 1, 0, 132.0
과채류, 딸기, 설향, 1, 0, 1600.0
류, 사과, 후지, 1, 0, 486.5
과채류, 토마토, 완숙토마토, 1, 0, 200.0
류, 감귤, 조생귤, 1, 0, 140.0
, 감자, 기타감자, 1, 0, 135.0
류, 감귤, 조생귤, 1, 0, 200.0
류, 사과, 후지, 1, 0, 330.0
, 감자, 기타감자, 1, 0, 140.0
류, 감귤, 감귤, 1, 0, 206.0
과채류, 토마토, 완숙토마토, 1, 0, 272.0
류, 사과, 후지, 1, 0, 345.0
류, 사과, 미얀마, 1, 0, 245.0
류, 새송이, 새송이버섯, 1, 0, 335.0
류, 감귤, 천혜향, 1, 0, 455.0
과채류, 딸기, 기타딸기, 1, 0, 1050.0
과채류, 방울토마토, 대추방울, 1, 0, 500.0
채류, 쑥갓, 쑥갓, 1, 0, 302.5
, 고구마, 밤고구마, 1, 0, 120.0
류, 사과, 미얀마, 1, 0, 285.5
류, 포도, 샤인마스캇, 1, 0, 675.0
채소류, 마늘, 풋마늘, 1, 0, 440.0
류, 감귤, 기타감귤, 1, 0, 140.0
류, 감귤, 조생귤, 1, 0, 200.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 800.0
채류, 상추, 청상추, 1, 0, 590.0
과채류, 방울토마토, 대추방울, 1, 0, 450.0
채류, 쑥갓, 쑥갓, 1, 0, 302.5
류, 감귤, 조생귤, 1, 0, 130.0
류, 오이, 백다다기, 1, 0, 693.3333
류, 표고버섯, 표고버섯, 1, 0, 760.0
과채류, 딸기, 설향, 1, 0, 1150.0
과채류, 딸기, 설향, 1, 0, 1250.0
류, 감귤, 조생귤, 1, 0, 160.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 243.75
과채류, 딸기, 장희, 1, 0, 700.0
채류, 아욱, 아욱, 1, 0, 321.75
류, 오이, 취청, 1, 0, 701.0
과채류, 방울토마토, 방울토마토, 1, 0, 190.0
과채류, 딸기, 설향, 1, 0, 1310.0
류, 사과, 후지, 1, 0, 345.0
류, 감귤, 조생귤, 1, 0, 100.0
채류, 배추, 쌈배추, 1, 0, 187.5
류, 사과, 미얀마, 1, 0, 325.0
채소류, 대파, 대파, 1, 0, 230.0
류, 포도, 샤인마스캇, 1, 0, 500.0
류, 새송이, 새송이버섯, 1, 0, 155.0
류, 포도, 샤인마스캇, 1, 0, 475.0
류, 단감, 차랑, 1, 0, 70.0
류, 사과, 후지, 1, 0, 325.0
류, 취나물, 취나물, 1, 0, 438.75
채류, 양배추, 양배추, 1, 0, 41.0
과채류, 딸기, 설향, 1, 0, 1600.0
류, 사과, 미얀마, 1, 0, 300.0
류, 오이, 백다다기, 1, 0, 422.22223
과채류, 딸기, 설향, 1, 0, 900.0
류, 오렌지, 네블, 1, 0, 476.47058
채류, 쑥갓, 쑥갓, 1, 0, 468.0
류, 수수, 수수, 1, 0, 464.0
채소류, 쪽파, 깐쪽파, 1, 0, 360.0
류, 사과, 미얀마, 1, 0, 299.0
류, 포도, 포도, 0, 0, 650.0
류, 기타, 라디초우, 1, 0, 337.5
류, 오이, 취청, 1, 0, 300.0
과채류, 방울토마토, 송이토마토, 1, 0, 500.0
과채류, 딸기, 설향, 1, 0, 850.0
 해조류, 파래, 파래, 1, 0, 150.0
류, 만감, 기타만감, 1, 0, 506.66666
채소류, 쪽파, 깐쪽파, 1, 0, 410.0
과채류, 토마토, 완숙토마토, 1, 0, 140.0
류, 감귤, 조생귤, 1, 0, 292.0
과채류, 딸기, 싼타, 1, 0, 1150.0
채류, 깻잎, 기타깻잎, 1, 0, 925.0
과채류, 방울토마토, 대추방울, 1, 0, 460.0
류, 호박, 애호박, 1, 0, 150.0
과채류, 딸기, 설향, 1, 0, 550.0
류, 오이, 취청, 1, 0, 680.0
류, 버찌, 버찌, 0, 0, 800.0
류, 사과, 후지, 1, 0, 117.0
과채류, 방울토마토, 대추방울, 1, 0, 300.0
류, 감귤, 조생귤, 1, 0, 212.0
채류, 양배추, 양배추, 1, 0, 51.0
류, 사과, 미얀마, 1, 0, 114.5
과채류, 토마토, 토마토, 1, 0, 300.0
류, 양송이, 양송이, 1, 0, 575.0
류, 새송이, 새송이버섯, 1, 0, 165.0
채소류, 양파, 양파, 0, 0, 106.666664
류, 양상추, 양상추, 1, 0, 265.0
류, 감귤, 조생귤, 1, 0, 250.0
류, 두릅, 땅두릅, 1, 0, 1060.0
류, 포도, 포도, 0, 0, 662.5
채소류, 풋고추, 청양, 1, 0, 350.0
류, 표고버섯, 표고버섯, 1, 0, 462.5
류, 사과, 후지, 1, 0, 250.0
류, 당근, 당근, 1, 0, 271.0
류, 기타, 라디초우, 1, 0, 512.5
류, 만감, 기타만감, 1, 0, 566.6667
류, 사과, 미얀마, 1, 0, 200.0
과채류, 토마토, 토마토, 1, 0, 960.0
과채류, 토마토, 토마토, 1, 0, 313.33334
류, 피망(단고추), 청피망, 1, 0, 1000.0
채류, 부추, 일반부추, 1, 0, 300.0
류, 배, 신고, 1, 0, 173.33333
류, 사과, 미얀마, 1, 0, 190.0
채류, 시금치, 시금치, 1, 0, 330.0
류, 사과, 미얀마, 1, 0, 258.66666
류, 칼리플라워(꽃양배추), 칼리플라워, 1, 0, 125.0
류, 오렌지, 네블, 1, 0, 423.52942
류, 가지, 가지, 1, 0, 316.0
과채류, 토마토, 완숙토마토, 1, 0, 212.0
류, 새송이, 새송이버섯, 1, 0, 150.0
류, 피망(단고추), 청피망, 1, 0, 1000.0
류, 양상추, 양상추, 1, 0, 265.0
과채류, 딸기, 설향, 1, 0, 550.0
류, 배, 신고, 1, 0, 186.66667
류, 오렌지, 네블, 1, 0, 411.7647
채류, 깻잎, 깻잎, 1, 0, 1000.0
채류, 양배추, 양배추, 1, 0, 55.0
과채류, 딸기, 설향, 1, 0, 1350.0
류, 만가닥, 만가닥, 1, 0, 566.6667
채류, 깻잎, 깻잎, 1, 0, 1025.0
과채류, 방울토마토, 대추방울, 1, 0, 300.0
과채류, 딸기, 설향, 1, 0, 1400.0
, 고구마, 밤고구마, 1, 0, 147.0
류, 단감, 부유, 1, 0, 160.0
과채류, 딸기, 설향, 1, 0, 800.0
류, 기타, 라디초우, 1, 0, 312.5
과채류, 방울토마토, 대추방울, 1, 0, 220.0
채류, 미나리, 돌미나리, 1, 0, 527.5
채류, 시금치, 시금치, 1, 0, 435.7143
과채류, 딸기, 설향, 1, 0, 1050.0
류, 오렌지, 네블, 1, 0, 429.41177
채류, 얼갈이배추, 얼갈이배추, 1, 0, 195.0
류, 감귤, 기타감귤, 1, 0, 250.0
류, 콜라비(순무양배추), 콜라비, 1, 0, 60.0
채류, 시금치, 시금치, 1, 0, 360.0
, 감자, 두백, 1, 0, 160.0
채소류, 풋고추, 오이고추, 1, 0, 430.0
, 고구마, 밤고구마, 1, 0, 180.0
채류, 시금치, 시금치, 1, 0, 280.0
류, 양상추, 기타양상추, 1, 0, 362.5
류, 감귤, 조생귤, 1, 0, 320.0
채류, 깻잎, 깻잎, 1, 0, 590.0
류, 단감, 차랑, 1, 0, 80.0
류, 기타, 라디초우, 1, 0, 412.5
류, 버찌, 버찌, 0, 0, 560.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 표고버섯, 표고버섯, 1, 0, 700.0
류, 표고버섯, 생표고, 1, 0, 440.0
과채류, 딸기, 금실, 1, 0, 450.0
채소류, 풋고추, 오이고추, 1, 0, 600.0
채류, 깻잎, 깻잎, 1, 0, 483.33334
채류, 상추, 적상추, 1, 0, 465.0
, 감자, 기타감자, 1, 0, 185.0
채류, 양배추, 양배추, 1, 0, 51.0
류, 양상추, 양상추, 1, 0, 330.0
류, 버찌, 버찌, 0, 0, 560.0
류, 오이, 백다다기, 1, 0, 433.33334
류, 사과, 미얀마, 1, 0, 294.66666
채소류, 풋고추, 오이고추, 1, 0, 600.0
류, 표고버섯, 표고버섯, 1, 0, 550.0
류, 감귤, 조생귤, 1, 0, 140.0
채류, 시금치, 시금치, 1, 0, 300.0
류, 양상추, 양상추, 1, 0, 325.0
과채류, 딸기, 설향, 1, 0, 1350.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 콜라비(순무양배추), 콜라비, 1, 0, 80.0
과채류, 딸기, 설향, 1, 0, 450.0
과채류, 토마토, 토마토, 1, 0, 160.0
채류, 봄동배추, 봄동배추, 1, 0, 173.33333
채소류, 홍고추, 홍청양, 1, 0, 425.0
류, 표고버섯, 생표고, 1, 0, 500.0
채류, 부추, 일반부추, 1, 0, 330.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 862.5
과채류, 딸기, 금실, 1, 0, 1350.0
류, 기타, 라디초우, 1, 0, 175.0
채소류, 풋고추, 청양, 1, 0, 810.0
채소류, 풋고추, 청양, 1, 0, 890.0
채류, 깻잎, 기타깻잎, 1, 0, 875.0
채소류, 풋고추, 녹광, 1, 0, 450.0
채류, 부추, 일반부추, 1, 0, 720.0
채소류, 쪽파, 깐쪽파, 1, 0, 240.0
채류, 시금치, 시금치, 1, 0, 215.0
과채류, 딸기, 설향, 1, 0, 600.0
류, 양상추, 양상추, 1, 0, 320.0
채류, 배추, 기타배추, 1, 0, 34.0
과채류, 딸기, 설향, 1, 0, 1400.0
채류, 깻잎, 깻잎, 1, 0, 483.33334
채류, 시금치, 시금치, 1, 0, 430.0
채소류, 쪽파, 깐쪽파, 1, 0, 560.0
류, 감귤, 기타감귤, 1, 0, 120.0
채류, 배추, 기타배추, 1, 0, 31.0
류, 표고버섯, 생표고, 1, 0, 500.0
류, 감귤, 기타감귤, 1, 0, 140.0
채류, 쑥갓, 쑥갓, 1, 0, 302.5
, 감자, 기타감자, 1, 0, 175.0
류, 사과, 후지, 1, 0, 286.0
류, 감귤, 조생귤, 1, 0, 70.0
, 감자, 기타감자, 1, 0, 180.0
채류, 시금치, 시금치, 1, 0, 100.0
류, 곶감, 기타곶감, 1, 0, 225.0
과채류, 딸기, 설향, 1, 0, 1240.0
류, 만감, 기타만감, 1, 0, 740.0
류, 배, 신고, 1, 0, 213.33333
류, 배, 신고, 1, 0, 160.0
류, 배, 신고, 1, 0, 186.66667
류, 배, 신고, 1, 0, 183.33333
류, 배, 신고, 1, 0, 173.33333
류, 배, 신고, 1, 0, 186.66667
류, 배, 신고, 1, 0, 183.33333
류, 배, 신고, 1, 0, 173.33333
류, 배, 신고, 1, 0, 183.33333
채류, 고수, 고수, 1, 0, 800.0
류, 배, 신고, 1, 0, 173.33333
류, 사과, 미얀마, 1, 0, 199.5
채류, 봄동배추, 봄동배추, 1, 0, 320.0
채소류, 쪽파, 쪽파, 1, 0, 250.0
채류, 부추, 일반부추, 1, 0, 480.0
류, 감귤, 조생귤, 1, 0, 212.0
과채류, 방울토마토, 대추방울, 1, 0, 316.66666
채류, 미나리, 미나리, 1, 0, 455.0
류, 호박, 애호박, 1, 0, 175.0
과채류, 토마토, 완숙토마토, 1, 0, 258.0
류, 사과, 미얀마, 1, 0, 240.0
, 고구마, 밤고구마, 1, 0, 147.0
류, 사과, 미얀마, 1, 0, 216.5
과채류, 딸기, 기타딸기, 1, 0, 1605.0
채류, 시금치, 시금치, 1, 0, 435.7143
류, 호박, 쥬키니호박, 1, 0, 326.0
류, 감귤, 비가림감귤, 1, 0, 260.0
류, 사과, 미얀마, 1, 0, 264.5
과채류, 딸기, 설향, 1, 0, 1050.0
류, 사과, 미얀마, 1, 0, 295.0
류, 만감, 기타만감, 1, 0, 463.33334
채소류, 대파, 대파, 1, 0, 255.0
류, 단감, 차랑, 1, 0, 110.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 175.0
과채류, 방울토마토, 대추방울, 1, 0, 450.0
류, 단감, 차랑, 1, 0, 80.0
채류, 깻잎, 깻잎순, 1, 0, 400.0
류, 호박, 쥬키니호박, 1, 0, 326.0
과채류, 토마토, 완숙토마토, 1, 0, 258.0
과채류, 딸기, 설향, 1, 0, 550.0
류, 포도, 샤인마스캇, 1, 0, 250.0
류, 기타, 라디초우, 1, 0, 175.0
류, 단감, 부유, 1, 0, 56.0
채류, 고수, 고수, 1, 0, 1050.0
과채류, 토마토, 완숙토마토, 1, 0, 134.0
류, 감귤, 조생귤, 1, 0, 250.0
, 감자, 기타감자, 1, 0, 200.0
과채류, 딸기, 기타딸기, 1, 0, 850.0
과채류, 딸기, 설향, 1, 0, 750.0
류, 양상추, 양상추, 1, 0, 275.0
류, 감귤, 조생귤, 1, 0, 130.0
, 감자, 기타감자, 1, 0, 200.0
류, 감귤, 비가림감귤, 1, 0, 240.0
과채류, 딸기, 장희, 1, 0, 800.0
류, 기타, 라디초우, 1, 0, 312.5
 해조류, 미역, 기타, 1, 0, 212.5
류, 당근, 당근, 1, 0, 157.5
과채류, 딸기, 설향, 1, 0, 1400.0
류, 감귤, 기타감귤, 1, 0, 120.0
류, 식용허브, 바실, 1, 0, 4780.0
, 감자, 기타감자, 1, 0, 200.0
류, 배, 신고, 1, 0, 186.66667
, 고구마, 기타, 1, 0, 146.66667
류, 양상추, 양상추, 1, 0, 270.0
 해조류, 우뭇가사리, 톳, 1, 0, 275.0
, 고구마, 밤고구마, 1, 0, 172.0
, 감자, 기타감자, 1, 0, 200.0
과채류, 방울토마토, 대추방울, 1, 0, 286.66666
류, 기타, 라디초우, 1, 0, 362.5
류, 토란, 기타토란, 1, 0, 190.0
 해조류, 파래, 파래, 1, 0, 125.0
류, 버찌, 버찌, 0, 0, 560.0
류, 무, 세척무, 1, 0, 70.0
, 감자, 기타감자, 1, 0, 200.0
채류, 배추, 기타배추, 1, 0, 31.0
 해조류, 미역, 물미역, 1, 0, 125.0
류, 식용허브, 바실, 1, 0, 5690.0
류, 단감, 차랑, 1, 0, 100.0
류, 무, 가을무, 1, 0, 37.5
류, 만가닥, 만가닥, 1, 0, 533.3333
과채류, 딸기, 설향, 1, 0, 1200.0
채소류, 풋고추, 청양, 1, 0, 800.0
과채류, 토마토, 완숙토마토, 1, 0, 310.0
, 고구마, 기타, 1, 0, 255.0
류, 양상추, 양상추, 0, 0, 313.33334
채소류, 풋고추, 청양, 1, 0, 820.0
채소류, 풋고추, 청양, 1, 0, 800.0
류, 표고버섯, 표고버섯, 1, 0, 700.0
채소류, 풋고추, 청양, 1, 0, 700.0
과채류, 딸기, 설향, 1, 0, 1500.0
, 고구마, 기타, 1, 0, 280.0
채류, 봄동배추, 봄동배추, 1, 0, 166.66667
채소류, 풋고추, 청양, 1, 0, 800.0
류, 단감, 기타단감, 1, 0, 242.0
류, 식용허브, 바실, 1, 0, 5500.0
과채류, 딸기, 설향, 1, 0, 1350.0
류, 사과, 미시마, 1, 0, 230.0
채류, 시금치, 시금치, 1, 0, 350.0
류, 배, 신고, 1, 0, 166.66667
과채류, 딸기, 설향, 1, 0, 650.0
류, 표고버섯, 생표고, 1, 0, 500.0
채류, 깻잎, 깻잎, 1, 0, 616.6667
채소류, 풋고추, 청양, 1, 0, 800.0
채류, 양배추, 양배추, 1, 0, 58.75
과채류, 딸기, 죽향, 1, 0, 2000.0
채류, 시금치, 시금치, 1, 0, 290.0
류, 사과, 미얀마, 1, 0, 190.0
과채류, 딸기, 설향, 1, 0, 650.0
류, 새송이, 새송이버섯, 1, 0, 230.0
류, 호박, 애호박, 1, 0, 231.25
채류, 양배추, 양배추, 1, 0, 60.0
류, 단감, 부유, 1, 0, 100.0
류, 포도, 샤인마스캇, 1, 0, 600.0
채소류, 풋고추, 청양, 1, 0, 800.0
채류, 봄동배추, 봄동배추, 1, 0, 90.0
채소류, 풋고추, 녹광, 1, 0, 500.0
류, 감귤, 조생귤, 1, 0, 140.0
채류, 깻잎, 깻잎, 1, 0, 450.0
채소류, 풋고추, 청양, 1, 0, 880.0
과채류, 딸기, 설향, 1, 0, 550.0
채류, 시금치, 시금치, 1, 0, 310.0
류, 사과, 미얀마, 1, 0, 305.33334
과채류, 방울토마토, 대추방울, 1, 0, 340.0
류, 사과, 미얀마, 1, 0, 190.0
류, 만감, 기타만감, 1, 0, 566.6667
채소류, 풋고추, 청양, 1, 0, 830.0
류, 포도, 샤인마스캇, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 950.0
류, 단감, 부유, 1, 0, 96.0
채류, 양배추, 양배추, 1, 0, 82.5
류, 사과, 미얀마, 1, 0, 250.0
채류, 깻잎, 기타깻잎, 1, 0, 925.0
채소류, 풋고추, 녹광, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 1350.0
채소류, 대파, 대파, 1, 0, 280.0
류, 오이, 취청, 1, 0, 610.0
채류, 시금치, 시금치, 1, 0, 320.0
채류, 봄동배추, 봄동배추, 1, 0, 186.66667
채소류, 쪽파, 깐쪽파, 1, 0, 330.0
류, 기타, 기타잡곡류, 0, 0, 240.0
과채류, 딸기, 장희, 1, 0, 880.0
류, 느타리버섯, 느타리버섯, 1, 0, 315.0
과채류, 토마토, 토마토, 1, 0, 800.0
과채류, 토마토, 토마토, 1, 0, 180.0
과채류, 토마토, 기타토마토, 1, 0, 250.0
류, 양상추, 양상추, 1, 0, 307.5
채소류, 풋고추, 청초, 1, 0, 300.0
류, 표고버섯, 표고버섯, 1, 0, 400.0
채류, 양배추, 양배추, 1, 0, 55.0
 해조류, 파래, 기타, 1, 0, 350.0
류, 감귤, 조생귤, 1, 0, 250.0
류, 느타리버섯, 애느타리, 1, 0, 225.0
채류, 깻잎, 깻잎, 1, 0, 450.0
과채류, 딸기, 기타딸기, 1, 0, 2150.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 62.5
류, 양송이, 양송이, 1, 0, 425.0
류, 파프리카, 파프리카, 1, 0, 1080.0
류, 감귤, 조생귤, 1, 0, 180.0
과채류, 딸기, 장희, 1, 0, 580.0
류, 감귤, 기타감귤, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 1000.0
, 감자, 기타감자, 1, 0, 230.0
, 고구마, 기타, 1, 0, 280.0
채류, 봄동배추, 봄동배추, 1, 0, 186.66667
과채류, 딸기, 설향, 1, 0, 1400.0
류, 새송이, 새송이버섯, 1, 0, 230.0
류, 감귤, 기타감귤, 1, 0, 200.0
류, 감귤, 조생귤, 1, 0, 172.0
류, 포도, 샤인마스캇, 1, 0, 550.0
과채류, 딸기, 설향, 1, 0, 1250.0
과채류, 딸기, 설향, 1, 0, 900.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 260.0
과채류, 토마토, 완숙토마토, 1, 0, 312.0
