과채류, 딸기, 설향, 1, 0, 890.0
류, 단감, 부유, 1, 0, 132.0
류, 사과, 미얀마, 1, 0, 270.0
류, 감귤, 조생귤, 1, 0, 220.0
류, 사과, 미얀마, 1, 0, 355.0
류, 사과, 후지, 1, 0, 310.0
류, 파인애플, 파인애플, 1, 0, 225.0
류, 사과, 미얀마, 1, 0, 320.5
과채류, 딸기, 설향, 1, 0, 1100.0
류, 사과, 후지, 1, 0, 240.0
과채류, 딸기, 설향, 1, 0, 900.0
류, 감귤, 레드향, 1, 0, 600.0
류, 사과, 미얀마, 1, 0, 219.5
류, 사과, 미얀마, 1, 0, 172.5
류, 감귤, 비가림감귤, 1, 0, 300.0
과채류, 딸기, 설향, 1, 0, 1100.0
류, 사과, 미얀마, 1, 0, 240.0
과채류, 딸기, 설향, 1, 0, 900.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 사과, 후지, 1, 0, 310.0
류, 만감, 한라봉, 1, 0, 380.0
류, 포도, 샤인마스캇, 1, 0, 750.0
류, 사과, 미얀마, 1, 0, 300.0
류, 사과, 미얀마, 1, 0, 272.0
류, 만감, 한라봉, 1, 0, 333.33334
류, 포도, 샤인마스캇, 1, 0, 465.0
류, 사과, 미얀마, 1, 0, 246.5
과채류, 딸기, 설향, 1, 0, 850.0
류, 사과, 후지, 1, 0, 336.0
류, 도라지, 기타도라지, 1, 0, 650.0
류, 감귤, 레드향, 1, 0, 600.0
류, 사과, 미얀마, 1, 0, 264.5
류, 포도, 샤인마스캇, 1, 0, 700.0
류, 만감, 한라봉, 1, 0, 333.33334
과채류, 방울토마토, 대추방울, 1, 0, 300.0
류, 사과, 미얀마, 1, 0, 175.0
류, 감귤, 기타감귤, 1, 0, 210.0
류, 사과, 미얀마, 1, 0, 99.5
과채류, 딸기, 설향, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 400.0
류, 감귤, 조생귤, 1, 0, 180.0
과채류, 방울토마토, 대추방울, 1, 0, 360.0
과채류, 딸기, 설향, 1, 0, 1633.3334
채류, 시금치, 시금치, 1, 0, 350.0
류, 사과, 미얀마, 1, 0, 275.0
류, 무, 무말랭이, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 650.0
류, 사과, 미얀마, 1, 0, 235.0
과채류, 딸기, 금실, 1, 0, 1250.0
과채류, 딸기, 설향, 1, 0, 1200.0
과채류, 딸기, 설향, 1, 0, 1200.0
과채류, 딸기, 설향, 1, 0, 1300.0
과채류, 딸기, 설향, 1, 0, 1120.0
류, 사과, 미얀마, 1, 0, 64.5
류, 도라지, 기타도라지, 1, 0, 650.0
과채류, 토마토, 완숙토마토, 1, 0, 265.0
류, 사과, 미얀마, 1, 0, 274.5
류, 감귤, 천혜향, 1, 0, 400.0
과채류, 딸기, 설향, 1, 0, 1166.6666
과채류, 딸기, 설향, 1, 0, 650.0
류, 감귤, 조생귤, 1, 0, 160.0
류, 감귤, 조생귤, 1, 0, 180.0
채류, 시금치, 시금치, 1, 0, 350.0
류, 감귤, 조생귤, 1, 0, 78.0
과채류, 딸기, 설향, 1, 0, 1150.0
류, 망고, 망고, 1, 0, 960.0
과채류, 딸기, 설향, 1, 0, 866.6667
과채류, 딸기, 설향, 1, 0, 553.3333
채류, 시금치, 시금치, 1, 0, 262.5
채류, 시금치, 시금치, 1, 0, 262.5
채류, 시금치, 시금치, 1, 0, 262.5
채류, 시금치, 시금치, 1, 0, 262.5
류, 사과, 미얀마, 1, 0, 282.5
류, 사과, 미얀마, 1, 0, 172.0
류, 사과, 미얀마, 1, 0, 282.5
류, 사과, 미얀마, 1, 0, 244.5
류, 사과, 미얀마, 1, 0, 284.5
류, 사과, 미얀마, 1, 0, 272.0
과채류, 토마토, 기타토마토, 1, 0, 244.0
류, 단감, 부유, 1, 0, 260.0
과채류, 딸기, 설향, 1, 0, 550.0
과채류, 토마토, 완숙토마토, 1, 0, 400.0
과채류, 딸기, 설향, 1, 0, 1280.0
류, 감귤, 조생귤, 1, 0, 140.0
류, 만감, 한라봉, 1, 0, 466.66666
가공, 전분 및 사료제조, 기타, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 290.0
가공, 전분 및 사료제조, 도토리묵, 1, 0, 166.66667
과채류, 토마토, 완숙토마토, 1, 0, 400.0
과채류, 방울토마토, 방울토마토, 1, 0, 355.0
채류, 숙주나물, 숙주나물, 0, 0, 150.0
류, 사과, 후지, 1, 0, 210.0
채류, 콩나물, 콩나물, 0, 0, 110.0
과채류, 방울토마토, 대추방울, 1, 0, 290.0
과채류, 딸기, 설향, 1, 0, 1300.0
과채류, 토마토, 토마토, 1, 0, 800.0
류, 배, 만풍, 1, 0, 110.0
류, 감귤, 조생귤, 1, 0, 200.0
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 오렌지, 오렌지, 0, 0, 470.58823
류, 오렌지, 오렌지, 0, 0, 470.58823
과채류, 딸기, 설향, 1, 0, 550.0
채류, 냉이, 일반냉이, 1, 0, 1150.0
류, 사과, 미얀마, 1, 0, 198.0
채류, 열무, 열무, 1, 0, 605.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 112.5
채류, 얼갈이배추, 얼갈이배추, 1, 0, 112.5
채류, 부추, 일반부추, 1, 0, 315.0
류, 사과, 미얀마, 1, 0, 107.5
류, 사과, 미얀마, 1, 0, 148.0
류, 사과, 미얀마, 1, 0, 161.5
류, 사과, 미얀마, 1, 0, 168.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 떫은감, 대봉시, 1, 0, 125.0
과채류, 딸기, 설향, 1, 0, 1400.0
과채류, 딸기, 설향, 1, 0, 850.0
, 고구마, 기타, 1, 0, 75.0
류, 떫은감, 대봉시, 1, 0, 125.0
류, 포도, 샤인마스캇, 1, 0, 625.0
류, 파인애플, 파인애플, 1, 0, 225.0
류, 포도, 샤인마스캇, 1, 0, 625.0
류, 포도, 샤인마스캇, 1, 0, 675.0
과채류, 토마토, 토마토, 1, 0, 270.0
과채류, 딸기, 설향, 1, 0, 1550.0
과채류, 딸기, 설향, 1, 0, 650.0
류, 사과, 미얀마, 1, 0, 180.5
류, 포도, 샤인마스캇, 1, 0, 625.0
류, 사과, 후지, 1, 0, 270.0
류, 감귤, 조생귤, 1, 0, 212.0
류, 사과, 후지, 1, 0, 330.0
과채류, 딸기, 설향, 1, 0, 980.0
류, 사과, 미얀마, 1, 0, 129.5
류, 사과, 후지, 1, 0, 345.0
과채류, 딸기, 설향, 1, 0, 1100.0
류, 사과, 미얀마, 1, 0, 69.5
류, 새송이, 새송이버섯, 1, 0, 400.0
과채류, 딸기, 설향, 1, 0, 600.0
류, 감귤, 조생귤, 1, 0, 150.0
과채류, 딸기, 설향, 1, 0, 1600.0
류, 포도, 샤인마스캇, 1, 0, 625.0
과채류, 딸기, 설향, 1, 0, 1550.0
과채류, 수박, 꿀수박, 1, 0, 371.42856
류, 감귤, 조생귤, 1, 0, 160.0
류, 사과, 미얀마, 1, 0, 316.5
류, 배, 신고, 1, 0, 180.0
류, 마, 기타마, 1, 0, 150.0
과채류, 딸기, 설향, 1, 0, 1280.0
과채류, 방울토마토, 대추방울, 1, 0, 500.0
류, 사과, 미얀마, 1, 0, 92.5
류, 새송이, 새송이버섯, 1, 0, 320.0
과채류, 수박, 꿀수박, 1, 0, 322.22223
과채류, 토마토, 완숙토마토, 1, 0, 265.0
과채류, 딸기, 설향, 1, 0, 600.0
류, 포도, 샤인마스캇, 1, 0, 625.0
류, 사과, 미얀마, 1, 0, 158.0
류, 사과, 미얀마, 1, 0, 244.5
류, 사과, 미얀마, 1, 0, 91.5
류, 감귤, 조생귤, 1, 0, 150.0
과채류, 딸기, 설향, 1, 0, 1250.0
류, 감귤, 조생귤, 1, 0, 126.0
류, 감귤, 조생귤, 1, 0, 180.0
류, 사과, 미얀마, 1, 0, 223.0
과채류, 딸기, 금실, 1, 0, 1000.0
류, 방풍나물, 방풍나물, 1, 0, 300.0
류, 사과, 미얀마, 1, 0, 179.5
류, 단감, 부유, 1, 0, 140.0
과채류, 딸기, 설향, 1, 0, 700.0
류, 사과, 후지, 1, 0, 260.0
류, 사과, 미얀마, 1, 0, 159.5
류, 새송이, 새송이버섯, 1, 0, 355.0
류, 사과, 후지, 1, 0, 150.0
과채류, 수박, 꿀수박, 1, 0, 360.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 감귤, 조생귤, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 포도, 샤인마스캇, 1, 0, 625.0
과채류, 딸기, 설향, 1, 0, 750.0
류, 사과, 미얀마, 1, 0, 236.5
류, 포도, 샤인마스캇, 1, 0, 510.0
류, 감귤, 조생귤, 1, 0, 240.0
류, 파인애플, 파인애플, 1, 0, 225.0
채류, 봄동배추, 봄동배추, 1, 0, 76.666664
류, 사과, 미얀마, 1, 0, 375.0
류, 사과, 미얀마, 1, 0, 146.5
류, 사과, 후지, 1, 0, 260.0
류, 사과, 미얀마, 1, 0, 163.0
류, 새송이, 새송이버섯, 1, 0, 365.0
과채류, 방울토마토, 대추방울, 1, 0, 420.0
과채류, 딸기, 설향, 1, 0, 1300.0
작물류, 유채, 식용, 1, 0, 217.5
과채류, 딸기, 설향, 1, 0, 1500.0
류, 감귤, 비가림감귤, 1, 0, 292.0
류, 감귤, 조생귤, 1, 0, 130.0
과채류, 수박, 꿀수박, 1, 0, 360.0
류, 사과, 미얀마, 1, 0, 126.5
류, 감귤, 레드향, 1, 0, 622.2222
류, 새송이, 새송이버섯, 1, 0, 365.0
과채류, 딸기, 설향, 1, 0, 1600.0
과채류, 토마토, 완숙토마토, 1, 0, 250.0
류, 사과, 후지, 1, 0, 250.0
류, 호두, 기타호두, 1, 0, 238.0
류, 사과, 미얀마, 1, 0, 223.0
과채류, 수박, 꿀수박, 1, 0, 363.63635
류, 감귤, 조생귤, 1, 0, 160.0
류, 포도, 샤인마스캇, 1, 0, 725.0
과채류, 딸기, 설향, 1, 0, 1500.0
채류, 열무, 열무, 1, 0, 212.5
류, 감귤, 레드향, 1, 0, 622.2222
과채류, 딸기, 설향, 1, 0, 1310.0
류, 사과, 후지, 1, 0, 250.0
과채류, 수박, 꿀수박, 1, 0, 363.63635
류, 새송이, 새송이버섯, 1, 0, 365.0
과채류, 토마토, 완숙토마토, 1, 0, 250.0
과채류, 딸기, 설향, 1, 0, 1300.0
과채류, 딸기, 금실, 1, 0, 1450.0
류, 사과, 미얀마, 1, 0, 263.0
류, 감귤, 레드향, 1, 0, 622.2222
류, 감귤, 기타감귤, 1, 0, 178.0
채류, 열무, 열무, 1, 0, 212.5
류, 사과, 미얀마, 1, 0, 284.5
과채류, 딸기, 설향, 1, 0, 1200.0
류, 사과, 미얀마, 1, 0, 138.5
과채류, 수박, 꿀수박, 1, 0, 363.63635
류, 사과, 후지, 1, 0, 250.0
류, 사과, 미얀마, 1, 0, 273.0
과채류, 딸기, 설향, 1, 0, 1400.0
류, 새송이, 새송이버섯, 1, 0, 400.0
류, 사과, 후지, 1, 0, 325.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 감귤, 조생귤, 1, 0, 302.0
류, 파인애플, 파인애플, 1, 0, 225.0
류, 감귤, 비가림감귤, 1, 0, 250.0
류, 대추, 건대추, 1, 0, 660.0
류, 감귤, 레드향, 1, 0, 622.2222
류, 사과, 미얀마, 1, 0, 292.0
류, 새송이, 새송이버섯, 1, 0, 400.0
과채류, 수박, 꿀수박, 1, 0, 416.66666
류, 사과, 미얀마, 1, 0, 161.0
류, 사과, 미얀마, 1, 0, 184.5
류, 사과, 미얀마, 1, 0, 176.5
류, 사과, 후지, 1, 0, 180.0
류, 사과, 후지, 1, 0, 270.0
류, 감귤, 조생귤, 1, 0, 140.0
류, 사과, 미얀마, 1, 0, 289.5
류, 사과, 미얀마, 1, 0, 179.5
류, 새송이, 새송이버섯, 1, 0, 400.0
과채류, 방울토마토, 대추방울, 1, 0, 460.0
과채류, 딸기, 설향, 1, 0, 966.6667
류, 사과, 미얀마, 1, 0, 272.5
류, 사과, 후지, 1, 0, 270.0
채류, 상추, 청상추, 1, 0, 470.0
류, 사과, 미얀마, 1, 0, 292.0
류, 배, 신고, 1, 0, 173.33333
류, 새송이, 새송이버섯, 1, 0, 400.0
류, 사과, 미얀마, 1, 0, 319.5
류, 사과, 미얀마, 1, 0, 334.5
류, 사과, 미얀마, 1, 0, 225.0
류, 사과, 미얀마, 1, 0, 90.0
류, 사과, 미얀마, 1, 0, 123.0
류, 당근, 당근, 1, 0, 135.0
류, 당근, 당근, 1, 0, 110.0
류, 사과, 미얀마, 1, 0, 121.5
채류, 콩나물, 콩나물, 0, 0, 110.0
과채류, 딸기, 설향, 1, 0, 1300.0
과채류, 방울토마토, 방울토마토, 1, 0, 280.0
류, 감귤, 조생귤, 1, 0, 204.0
류, 바나나, 바나나, 1, 0, 138.46153
류, 사과, 후지, 1, 0, 280.0
과채류, 토마토, 기타토마토, 1, 0, 260.0
과채류, 딸기, 설향, 1, 0, 680.0
류, 단감, 부유, 1, 0, 290.0
과채류, 딸기, 설향, 1, 0, 760.0
류, 사과, 기타사과, 1, 0, 300.0
류, 곶감, 기타곶감, 1, 0, 725.0
과채류, 토마토, 토마토, 1, 0, 680.0
과채류, 딸기, 설향, 1, 0, 1400.0
과채류, 토마토, 완숙토마토, 1, 0, 200.0
류, 감귤, 조생귤, 1, 0, 180.0
과채류, 토마토, 완숙토마토, 1, 0, 200.0
과채류, 토마토, 기타토마토, 1, 0, 264.0
류, 배, 만풍, 1, 0, 111.333336
류, 사과, 후지, 1, 0, 180.0
과채류, 딸기, 설향, 1, 0, 550.0
류, 사과, 미얀마, 1, 0, 140.0
류, 사과, 미시마, 1, 0, 106.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 사과, 미얀마, 1, 0, 108.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 사과, 미시마, 1, 0, 95.0
과채류, 딸기, 설향, 1, 0, 1350.0
과채류, 딸기, 설향, 1, 0, 1350.0
류, 사과, 미얀마, 1, 0, 119.5
류, 사과, 미얀마, 1, 0, 223.0
류, 파프리카, 기타파프리카, 1, 0, 1617.0
류, 사과, 미얀마, 1, 0, 263.0
채소류, 풋고추, 아삭이, 1, 0, 840.0
채소류, 풋고추, 청양, 1, 0, 945.0
채소류, 풋고추, 아삭이, 1, 0, 945.0
류, 사과, 미얀마, 1, 0, 275.0
류, 셀러리(양미나리), 셀러리, 1, 0, 50.0
류, 셀러리(양미나리), 셀러리, 1, 0, 50.0
류, 사과, 미얀마, 1, 0, 279.5
과채류, 딸기, 설향, 1, 0, 1480.0
류, 감귤, 조생귤, 1, 0, 166.0
류, 포도, 샤인마스캇, 1, 0, 660.0
류, 감귤, 조생귤, 1, 0, 344.0
류, 사과, 후지, 1, 0, 30.0
류, 떫은감, 대봉시, 1, 0, 135.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 사과, 미얀마, 1, 0, 104.5
과채류, 딸기, 설향, 1, 0, 1040.0
류, 사과, 미얀마, 1, 0, 179.5
류, 사과, 후지, 1, 0, 328.0
류, 떫은감, 대봉시, 1, 0, 135.0
과채류, 딸기, 설향, 1, 0, 1233.3334
과채류, 수박, 꿀수박, 1, 0, 363.63635
류, 사과, 미얀마, 1, 0, 169.5
류, 사과, 미얀마, 1, 0, 150.0
류, 배, 신고, 1, 0, 213.33333
, 고구마, 기타, 1, 0, 90.0
과채류, 딸기, 금실, 1, 0, 1600.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 사과, 미얀마, 1, 0, 195.5
과채류, 수박, 꿀수박, 1, 0, 416.66666
과채류, 딸기, 설향, 1, 0, 1150.0
류, 새송이, 새송이버섯, 1, 0, 400.0
과채류, 딸기, 설향, 1, 0, 1900.0
류, 사과, 미얀마, 1, 0, 345.0
류, 배, 신고, 1, 0, 180.0
류, 사과, 미얀마, 1, 0, 79.5
류, 사과, 미시마, 1, 0, 270.0
과채류, 딸기, 설향, 1, 0, 1900.0
류, 호박, 호박고지, 1, 0, 666.6667
류, 체리, 체리, 0, 0, 720.0
과채류, 딸기, 설향, 1, 0, 1580.0
류, 새송이, 새송이버섯, 1, 0, 400.0
류, 감귤, 조생귤, 1, 0, 130.0
류, 사과, 미얀마, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 289.0
과채류, 토마토, 완숙토마토, 1, 0, 210.0
과채류, 딸기, 설향, 1, 0, 1650.0
과채류, 딸기, 설향, 1, 0, 1250.0
류, 배, 신고, 1, 0, 160.0
과채류, 딸기, 설향, 1, 0, 880.0
류, 사과, 미얀마, 1, 0, 133.0
과채류, 딸기, 설향, 1, 0, 550.0
류, 사과, 미얀마, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 새송이, 새송이버섯, 1, 0, 400.0
류, 새송이, 새송이버섯, 1, 0, 400.0
류, 감귤, 조생귤, 1, 0, 140.0
과채류, 딸기, 금실, 1, 0, 1800.0
류, 파인애플, 파인애플, 1, 0, 225.0
류, 사과, 미얀마, 1, 0, 214.5
류, 사과, 미얀마, 1, 0, 175.5
류, 사과, 미얀마, 1, 0, 229.5
류, 사과, 후지, 1, 0, 40.0
류, 감귤, 조생귤, 1, 0, 130.0
류, 파프리카, 빨강파프리카, 1, 0, 865.8
류, 감귤, 조생귤, 1, 0, 100.0
류, 배, 신고, 1, 0, 186.66667
류, 포도, 샤인마스캇, 1, 0, 900.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 배, 신고, 1, 0, 183.33333
채류, 상추, 적상추, 1, 0, 475.0
류, 사과, 미얀마, 1, 0, 90.0
과채류, 딸기, 설향, 1, 0, 1186.6666
류, 감귤, 비가림감귤, 1, 0, 244.0
류, 사과, 미얀마, 1, 0, 201.0
과채류, 딸기, 설향, 1, 0, 930.0
류, 사과, 미얀마, 1, 0, 180.0
류, 떫은감, 대봉시, 1, 0, 150.0
과채류, 수박, 수박, 1, 0, 44.285713
류, 사과, 미얀마, 1, 0, 284.5
과채류, 딸기, 설향, 1, 0, 1200.0
류, 사과, 미얀마, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 254.5
류, 감귤, 조생귤, 1, 0, 70.0
류, 감귤, 천혜향, 1, 0, 406.66666
류, 감귤, 조생귤, 1, 0, 172.0
류, 배, 신고, 1, 0, 173.33333
류, 사과, 미얀마, 1, 0, 180.5
류, 사과, 미얀마, 1, 0, 99.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 사과, 미얀마, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 1266.6666
과채류, 방울토마토, 대추방울, 1, 0, 420.0
류, 감귤, 조생귤, 1, 0, 180.0
류, 사과, 후지, 1, 0, 420.0
류, 사과, 미얀마, 1, 0, 250.5
류, 배, 신고, 1, 0, 186.66667
류, 감귤, 조생귤, 1, 0, 260.0
류, 감귤, 비가림감귤, 1, 0, 130.0
류, 사과, 미얀마, 1, 0, 184.5
류, 사과, 후지, 1, 0, 93.0
류, 사과, 미얀마, 1, 0, 334.5
류, 감귤, 조생귤, 1, 0, 180.0
과채류, 딸기, 설향, 1, 0, 850.0
류, 사과, 미얀마, 1, 0, 249.0
류, 감귤, 기타감귤, 1, 0, 140.0
류, 감귤, 조생귤, 1, 0, 240.0
류, 사과, 미얀마, 1, 0, 202.5
류, 포도, 샤인마스캇, 1, 0, 600.0
류, 만감, 한라봉, 1, 0, 466.66666
류, 사과, 후지, 1, 0, 270.0
류, 사과, 후지, 1, 0, 420.0
류, 사과, 미얀마, 1, 0, 239.5
류, 감귤, 조생귤, 1, 0, 70.0
과채류, 딸기, 설향, 1, 0, 815.0
과채류, 딸기, 설향, 1, 0, 650.0
류, 감귤, 조생귤, 1, 0, 180.0
류, 감귤, 조생귤, 1, 0, 110.0
과채류, 딸기, 설향, 1, 0, 12000.0
채소류, 풋고추, 청양, 1, 0, 900.0
류, 만감, 한라봉, 1, 0, 350.0
과채류, 딸기, 설향, 1, 0, 500.0
류, 배, 신고, 1, 0, 183.33333
채류, 상추, 청상추, 1, 0, 245.0
류, 사과, 미얀마, 1, 0, 144.5
과채류, 딸기, 설향, 1, 0, 1200.0
과채류, 토마토, 토마토, 1, 0, 520.0
류, 사과, 미얀마, 1, 0, 345.0
류, 만감, 기타만감, 1, 0, 583.3333
류, 사과, 미얀마, 1, 0, 282.5
류, 사과, 후지, 1, 0, 220.0
과채류, 딸기, 설향, 1, 0, 920.0
과채류, 딸기, 설향, 1, 0, 1320.0
류, 포도, 샤인마스캇, 1, 0, 650.0
류, 배, 신고, 1, 0, 173.33333
과채류, 방울토마토, 방울토마토, 1, 0, 190.0
류, 파인애플, 파인애플, 1, 0, 225.0
류, 감귤, 조생귤, 1, 0, 300.0
류, 사과, 미얀마, 1, 0, 185.0
류, 파프리카, 기타파프리카, 1, 0, 1464.0
과채류, 딸기, 설향, 1, 0, 1506.6666
류, 감귤, 조생귤, 1, 0, 180.0
과채류, 딸기, 설향, 1, 0, 1400.0
류, 사과, 미얀마, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 1266.6666
류, 감귤, 조생귤, 1, 0, 260.0
류, 단감, 부유, 1, 0, 160.0
류, 사과, 미얀마, 1, 0, 229.5
