류, 표고버섯, 표고버섯, 1, 0, 260.0
채류, 상추, 로즈케일, 1, 0, 325.0
류, 배, 신고, 1, 0, 166.66667
류, 배, 신고, 1, 0, 186.66667
채류, 달래, 달래, 1, 0, 1500.0
채류, 달래, 달래, 1, 0, 1500.0
류, 배, 신고, 1, 0, 173.33333
류, 사과, 미얀마, 1, 0, 230.0
과채류, 딸기, 육보, 1, 0, 1000.0
류, 감귤, 조생귤, 1, 0, 340.0
과채류, 딸기, 육보, 1, 0, 1000.0
류, 감귤, 조생귤, 1, 0, 250.0
류, 표고버섯, 표고버섯, 1, 0, 580.0
류, 표고버섯, 표고버섯, 1, 0, 750.0
류, 표고버섯, 표고버섯, 1, 0, 660.0
채류, 쌈추, 쌈추, 1, 0, 400.0
류, 사과, 미얀마, 1, 0, 400.0
류, 무, 세척무, 1, 0, 37.5
류, 감귤, 조생귤, 1, 0, 160.0
류, 감귤, 조생귤, 1, 0, 160.0
류, 표고버섯, 표고버섯, 1, 0, 950.0
류, 사과, 미얀마, 1, 0, 285.0
과채류, 딸기, 설향, 1, 0, 600.0
류, 포도, 샤인마스캇, 1, 0, 500.0
과채류, 딸기, 기타딸기, 1, 0, 600.0
류, 취나물, 기타취나물, 1, 0, 750.0
채류, 부추, 일반부추, 1, 0, 400.0
과채류, 수박, 수박, 1, 0, 492.30768
류, 호박, 애호박, 1, 0, 375.0
류, 포도, 샤인마스캇, 1, 0, 580.0
류, 감귤, 조생귤, 1, 0, 90.0
과채류, 수박, 수박, 1, 0, 554.5455
류, 표고버섯, 기타표고버섯, 1, 0, 665.0
채류, 토란대, 기타토란대, 1, 0, 150.0
과채류, 방울토마토, 대추방울, 1, 0, 466.66666
과채류, 수박, 수박, 1, 0, 517.5
채류, 깻잎, 기타깻잎, 1, 0, 375.0
류, 오이, 취청, 1, 0, 640.0
과채류, 딸기, 설향, 1, 0, 1000.0
과채류, 딸기, 설향, 1, 0, 1400.0
류, 감귤, 조생귤, 1, 0, 154.0
채류, 깻잎, 깻잎, 1, 0, 425.0
류, 적채, 적채, 1, 0, 83.75
류, 감귤, 천혜향, 1, 0, 520.0
, 고구마, 밤고구마, 1, 0, 146.0
류, 포도, 샤인마스캇, 1, 0, 1150.0
류, 포도, 샤인마스캇, 1, 0, 500.0
채류, 고구마순, 기타고구마순, 1, 0, 375.0
, 고구마, 밤고구마, 1, 0, 162.0
, 고구마, 밤고구마, 1, 0, 146.0
과채류, 딸기, 설향, 1, 0, 850.0
, 고구마, 밤고구마, 1, 0, 168.0
류, 사과, 미얀마, 1, 0, 201.5
류, 사과, 미얀마, 1, 0, 289.5
류, 사과, 미얀마, 1, 0, 218.0
과채류, 딸기, 설향, 1, 0, 1200.0
류, 치커리, 레드치커리, 1, 0, 115.0
류, 배, 신고, 1, 0, 144.0
류, 사과, 미얀마, 1, 0, 329.5
류, 포도, 샤인마스캇, 1, 0, 900.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 206.25
류, 사과, 미얀마, 1, 0, 201.5
류, 표고버섯, 표고버섯, 1, 0, 1300.0
채류, 깻잎, 깻잎순, 1, 0, 175.0
, 감자, 수미, 1, 0, 110.0
채류, 시금치, 섬초, 1, 0, 280.0
류, 포도, 샤인마스캇, 1, 0, 900.0
채류, 시금치, 시금치, 1, 0, 500.0
류, 오이, 취청, 1, 0, 690.0
류, 사과, 미얀마, 1, 0, 335.0
류, 느타리버섯, 느타리버섯, 1, 0, 405.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 218.75
채류, 깻잎, 기타깻잎, 1, 0, 356.25
류, 사과, 미얀마, 1, 0, 256.0
류, 감귤, 조생귤, 1, 0, 160.0
류, 감귤, 조생귤, 1, 0, 250.0
류, 오이, 백다다기, 1, 0, 461.1111
과채류, 토마토, 기타토마토, 1, 0, 233.33333
류, 바나나, 바나나, 0, 0, 253.84616
류, 호박, 쥬키니호박, 1, 0, 290.0
류, 사과, 후지, 1, 0, 77.0
채류, 미나리, 돌미나리, 1, 0, 650.0
류, 치커리, 레드치커리, 1, 0, 115.0
, 고구마, 호박고구마, 1, 0, 120.0
채류, 깻잎, 깻잎, 1, 0, 337.5
류, 사과, 미얀마, 1, 0, 329.5
채소류, 풋고추, 청양, 1, 0, 696.4286
과채류, 방울토마토, 대추방울, 1, 0, 500.0
과채류, 딸기, 설향, 1, 0, 1373.3334
류, 호박, 쥬키니호박, 1, 0, 300.0
과채류, 딸기, 설향, 1, 0, 1100.0
과채류, 딸기, 설향, 1, 0, 1600.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 156.25
류, 오이, 취청, 1, 0, 650.0
류, 사과, 미얀마, 1, 0, 274.5
채류, 시금치, 섬초, 1, 0, 380.0
류, 곶감, 기타곶감, 1, 0, 1125.0
류, 표고버섯, 표고버섯, 1, 0, 460.0
채류, 미나리, 돌미나리, 1, 0, 697.5
채류, 부추, 일반부추, 1, 0, 235.71428
류, 사과, 미얀마, 1, 0, 325.5
류, 오이, 백다다기, 1, 0, 316.66666
류, 바나나, 바나나, 0, 0, 253.84616
채류, 부추, 일반부추, 1, 0, 600.0
채류, 미나리, 돌미나리, 1, 0, 475.0
채류, 시금치, 섬초, 1, 0, 380.0
류, 표고버섯, 표고버섯, 1, 0, 1300.0
채류, 봄동배추, 봄동배추, 1, 0, 160.0
, 감자, 수미, 1, 0, 158.0
과채류, 딸기, 설향, 1, 0, 1400.0
채류, 깻잎, 깻잎, 1, 0, 1400.0
류, 콜라비(순무양배추), 적콜라비, 1, 0, 96.666664
류, 호박, 쥬키니호박, 1, 0, 300.0
채소류, 홍고추, 홍고추, 1, 0, 150.0
류, 피망(단고추), 홍피망, 1, 0, 120.0
류, 바나나, 바나나, 0, 0, 253.84616
채류, 시금치, 섬초, 1, 0, 290.0
류, 감귤, 기타감귤, 1, 0, 175.0
채류, 부추, 일반부추, 1, 0, 440.0
채류, 근대, 적근대, 1, 0, 90.0
류, 양상추, 양상추, 1, 0, 337.5
채소류, 풋고추, 청양, 1, 0, 840.0
과채류, 딸기, 설향, 1, 0, 900.0
과채류, 방울토마토, 방울토마토, 1, 0, 400.0
채류, 부추, 일반부추, 1, 0, 580.0
채류, 깻잎, 기타깻잎, 1, 0, 356.25
류, 감귤, 조생귤, 1, 0, 252.0
채류, 미나리, 미나리, 1, 0, 161.33333
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 250.0
류, 표고버섯, 표고버섯, 1, 0, 500.0
채류, 시금치, 시금치, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 500.0
채소류, 풋고추, 청양, 1, 0, 620.0
채류, 시금치, 시금치, 1, 0, 290.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 218.75
류, 호박, 쥬키니호박, 1, 0, 320.0
 해조류, 미역, 물미역, 1, 0, 117.5
과채류, 딸기, 설향, 1, 0, 820.0
류, 오이, 취청, 1, 0, 595.0
과채류, 메론, 네트계, 1, 0, 300.0
류, 감귤, 비가림감귤, 1, 0, 70.0
채류, 시금치, 섬초, 1, 0, 350.0
채소류, 홍고추, 홍고추, 1, 0, 180.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 190.0
과채류, 딸기, 설향, 1, 0, 1200.0
채소류, 쪽파, 쪽파, 1, 0, 420.0
채소류, 쪽파, 깐쪽파, 1, 0, 500.0
류, 치커리, 치커리, 1, 0, 300.0
, 감자, 두백, 1, 0, 70.0
류, 단감, 부유, 1, 0, 210.0
채류, 시금치, 섬초, 1, 0, 340.0
류, 새송이, 새송이버섯, 1, 0, 212.5
류, 단감, 부유, 1, 0, 130.0
채류, 봄동배추, 봄동배추, 1, 0, 160.0
류, 당근, 당근, 1, 0, 167.5
채소류, 쪽파, 깐쪽파, 1, 0, 420.0
류, 감귤, 조생귤, 1, 0, 160.0
류, 오이, 백다다기, 1, 0, 296.0
류, 표고버섯, 표고버섯, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 1140.0
류, 표고버섯, 표고버섯, 1, 0, 525.0
채류, 시금치, 시금치, 1, 0, 360.0
과채류, 딸기, 설향, 1, 0, 1200.0
과채류, 딸기, 설향, 1, 0, 700.0
채소류, 홍고추, 홍고추, 1, 0, 180.0
채소류, 풋고추, 청양, 1, 0, 880.0
류, 호박, 호박고지, 1, 0, 900.0
채류, 부추, 일반부추, 1, 0, 620.0
채류, 배추, 월동배추, 1, 0, 32.0
류, 표고버섯, 표고버섯, 1, 0, 460.0
과채류, 방울토마토, 대추방울, 1, 0, 333.33334
류, 표고버섯, 표고버섯, 1, 0, 550.0
과채류, 딸기, 설향, 1, 0, 1100.0
과채류, 딸기, 설향, 1, 0, 1350.0
채류, 상추, 청상추, 1, 0, 280.0
과채류, 딸기, 설향, 1, 0, 600.0
과채류, 딸기, 장희, 1, 0, 1100.0
류, 사과, 후지, 1, 0, 160.0
과채류, 방울토마토, 대추방울, 1, 0, 516.6667
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 200.0
류, 감귤, 조생귤, 1, 0, 292.0
류, 사과, 미시마, 1, 0, 310.0
류, 배, 신고, 1, 0, 186.66667
류, 배, 신고, 1, 0, 193.33333
류, 배, 신고, 1, 0, 166.66667
류, 배, 신고, 1, 0, 186.66667
류, 배, 신고, 1, 0, 173.33333
과채류, 딸기, 설향, 1, 0, 1060.0
류, 감귤, 감귤, 1, 0, 210.0
류, 포도, 샤인마스캇, 1, 0, 775.0
류, 감귤, 조생귤, 1, 0, 220.0
과채류, 딸기, 설향, 1, 0, 600.0
류, 감귤, 조생귤, 1, 0, 240.0
류, 배, 신고, 1, 0, 173.33333
류, 배, 신고, 1, 0, 220.0
류, 감귤, 감귤, 1, 0, 154.0
류, 감귤, 조생귤, 1, 0, 164.0
류, 감귤, 조생귤, 1, 0, 190.0
류, 감귤, 조생귤, 1, 0, 200.0
류, 호박, 애호박, 1, 0, 463.75
류, 사과, 후지, 1, 0, 280.0
류, 호박, 애호박, 1, 0, 463.75
과채류, 딸기, 설향, 1, 0, 715.0
과채류, 딸기, 설향, 1, 0, 600.0
, 고구마, 밤고구마, 1, 0, 195.0
과채류, 딸기, 설향, 1, 0, 850.0
류, 감귤, 조생귤, 1, 0, 100.0
과채류, 방울토마토, 대추방울, 1, 0, 166.66667
류, 아스파라가스, 기타, 1, 0, 120.0
류, 사과, 미얀마, 1, 0, 324.5
과채류, 딸기, 설향, 1, 0, 1150.0
과채류, 수박, 수박, 1, 0, 392.85715
류, 포도, 샤인마스캇, 1, 0, 1150.0
류, 새송이, 새송이버섯, 1, 0, 285.0
, 고구마, 밤고구마, 1, 0, 106.0
류, 사과, 미시마, 1, 0, 101.0
, 고구마, 밤고구마, 1, 0, 162.0
과채류, 방울토마토, 대추방울, 1, 0, 335.0
, 고구마, 밤고구마, 1, 0, 106.0
과채류, 수박, 수박, 1, 0, 441.25
류, 바나나, 기타바나나, 1, 0, 191.15384
과채류, 딸기, 설향, 1, 0, 600.0
과채류, 수박, 수박, 1, 0, 481.1111
, 고구마, 밤고구마, 1, 0, 168.0
류, 사과, 미시마, 1, 0, 155.0
채류, 동초, 동초, 1, 0, 405.0
과채류, 딸기, 기타딸기, 1, 0, 600.0
과채류, 수박, 수박, 1, 0, 521.0
류, 배, 신고, 1, 0, 346.66666
채류, 고수, 고수, 1, 0, 1266.6666
과채류, 수박, 수박, 1, 0, 554.5455
류, 사과, 미시마, 1, 0, 166.0
류, 감귤, 기타감귤, 1, 0, 140.0
류, 사과, 미시마, 1, 0, 168.0
과채류, 딸기, 설향, 1, 0, 900.0
류, 감귤, 비가림감귤, 1, 0, 110.0
과채류, 수박, 수박, 1, 0, 517.5
류, 무, 세척무, 1, 0, 37.5
류, 바나나, 기타바나나, 1, 0, 200.0
채류, 양배추, 양배추, 1, 0, 48.46154
류, 사과, 미시마, 1, 0, 168.0
과채류, 토마토, 대저토마토, 1, 0, 640.0
류, 무, 세척무, 1, 0, 37.5
류, 사과, 미시마, 1, 0, 224.5
과채류, 딸기, 설향, 1, 0, 600.0
류, 사과, 후지, 1, 0, 180.0
류, 사과, 미시마, 1, 0, 266.5
채소류, 풋고추, 청양, 1, 0, 740.0
과채류, 딸기, 설향, 1, 0, 300.0
류, 사과, 미시마, 1, 0, 270.0
채소류, 풋고추, 청양, 1, 0, 740.0
과채류, 딸기, 기타딸기, 1, 0, 800.0
채류, 비름, 참비름, 1, 0, 180.0
작물류, 땅콩, 기타땅콩, 1, 0, 460.0
채류, 부추, 일반부추, 1, 0, 200.0
류, 감귤, 조생귤, 1, 0, 250.0
과채류, 딸기, 설향, 1, 0, 700.0
과채류, 딸기, 설향, 1, 0, 1060.0
채류, 시금치, 시금치, 1, 0, 260.0
채류, 시금치, 시금치, 1, 0, 270.0
류, 포도, 샤인마스캇, 1, 0, 600.0
류, 포도, 샤인마스캇, 1, 0, 600.0
작물류, 땅콩, 피땅콩, 1, 0, 1666.6666
류, 콜라비(순무양배추), 적콜라비, 1, 0, 86.666664
채류, 깻잎, 기타깻잎, 1, 0, 140.0
, 고구마, 기타, 1, 0, 230.0
채류, 근대, 적근대, 1, 0, 80.0
과채류, 딸기, 설향, 1, 0, 1180.0
채류, 깻잎, 깻잎순, 1, 0, 337.5
류, 표고버섯, 표고버섯, 1, 0, 700.0
류, 배, 신고, 1, 0, 172.66667
채류, 봄동배추, 봄동배추, 1, 0, 133.0
, 감자, 수미, 1, 0, 185.0
채류, 시금치, 시금치, 1, 0, 290.0
채소류, 풋고추, 청양, 1, 0, 610.0
채류, 깻잎, 깻잎, 1, 0, 625.0
류, 감귤, 기타감귤, 1, 0, 130.0
채류, 시금치, 섬초, 1, 0, 350.0
과채류, 딸기, 설향, 1, 0, 1250.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 243.75
과채류, 딸기, 설향, 1, 0, 780.0
채류, 미나리, 미나리, 1, 0, 860.0
류, 오이, 백다다기, 1, 0, 80.55556
과채류, 딸기, 설향, 1, 0, 1400.0
채류, 양배추, 양배추, 1, 0, 107.5
채소류, 풋고추, 청양, 1, 0, 880.0
과채류, 딸기, 설향, 1, 0, 1150.0
채류, 깻잎, 깻잎, 1, 0, 616.6667
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 231.25
류, 표고버섯, 표고버섯, 1, 0, 450.0
채류, 부추, 일반부추, 1, 0, 228.57143
류, 포도, 샤인마스캇, 1, 0, 725.0
채류, 시금치, 섬초, 1, 0, 320.0
과채류, 딸기, 설향, 1, 0, 950.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 200.0
류, 비타민, 비타민, 1, 0, 425.0
 해조류, 미역, 물미역, 1, 0, 120.0
류, 오이, 취청, 1, 0, 588.0
채류, 양배추, 양배추, 1, 0, 80.0
류, 오이, 백다다기, 1, 0, 455.55554
류, 배, 신고, 1, 0, 220.0
채소류, 풋고추, 청양, 1, 0, 880.0
채소류, 홍고추, 홍고추, 1, 0, 370.0
류, 무, 세척무, 1, 0, 65.0
채류, 시금치, 섬초, 1, 0, 220.0
류, 포도, 샤인마스캇, 1, 0, 725.0
채류, 시금치, 시금치, 1, 0, 320.0
류, 단감, 부유, 1, 0, 152.0
과채류, 방울토마토, 대추방울, 1, 0, 333.33334
류, 배, 신고, 1, 0, 160.0
과채류, 수박, 꿀수박, 1, 0, 171.42857
채류, 깻잎, 깻잎, 1, 0, 350.0
채류, 시금치, 시금치, 1, 0, 340.0
류, 감귤, 레드향, 1, 0, 333.33334
, 고구마, 기타, 1, 0, 65.0
채류, 양배추, 양배추, 1, 0, 71.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 237.5
류, 표고버섯, 표고버섯, 1, 0, 350.0
채류, 시금치, 시금치, 1, 0, 287.5
류, 비타민, 비타민, 1, 0, 400.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 232.5
채류, 시금치, 섬초, 1, 0, 250.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 100.0
류, 바나나, 바나나, 0, 0, 253.84616
류, 배, 신고, 1, 0, 173.33333
과채류, 방울토마토, 대추방울, 1, 0, 516.6667
채류, 부추, 일반부추, 1, 0, 870.0
채류, 깻잎, 기타깻잎, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 800.0
, 감자, 수미, 1, 0, 205.0
채소류, 홍고추, 홍고추, 1, 0, 210.0
류, 호박, 단호박, 0, 0, 390.0
류, 감귤, 천혜향, 1, 0, 416.66666
류, 감귤, 조생귤, 1, 0, 160.0
과채류, 딸기, 설향, 1, 0, 800.0
류, 오이, 백다다기, 1, 0, 196.0
채소류, 풋고추, 청양, 1, 0, 610.0
류, 배, 신고, 1, 0, 173.33333
류, 호박, 단호박, 1, 0, 400.0
채류, 시금치, 섬초, 1, 0, 340.0
류, 사과, 후지, 1, 0, 240.0
류, 감귤, 조생귤, 1, 0, 110.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 206.25
채소류, 홍고추, 홍고추, 1, 0, 360.0
채류, 깻잎, 깻잎, 1, 0, 1150.0
채류, 시금치, 시금치, 1, 0, 100.0
류, 감귤, 기타감귤, 1, 0, 230.0
류, 오이, 백다다기, 1, 0, 277.77777
류, 배, 신고, 1, 0, 133.33333
류, 오이, 백다다기, 1, 0, 361.1111
류, 느타리버섯, 애느타리, 1, 0, 300.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 231.25
류, 느타리버섯, 느타리버섯, 1, 0, 415.0
채류, 배추, 쌈배추, 1, 0, 42.857143
채소류, 쪽파, 깐쪽파, 1, 0, 410.0
류, 느타리버섯, 애느타리, 1, 0, 300.0
 해조류, 미역, 물미역, 1, 0, 115.0
과채류, 딸기, 육보, 1, 0, 1060.0
채류, 부추, 일반부추, 1, 0, 580.0
채류, 시금치, 시금치, 1, 0, 100.0
채소류, 풋고추, 청양, 1, 0, 650.0
류, 비타민, 비타민, 1, 0, 450.0
류, 단감, 부유, 1, 0, 260.0
류, 배, 신고, 1, 0, 220.0
과채류, 방울토마토, 대추방울, 1, 0, 266.66666
류, 감귤, 조생귤, 1, 0, 322.0
류, 감귤, 조생귤, 1, 0, 80.0
류, 감귤, 조생귤, 1, 0, 180.0
류, 표고버섯, 표고버섯, 1, 0, 525.0
채류, 깻잎, 깻잎순, 1, 0, 675.0
류, 호박, 쥬키니호박, 1, 0, 260.0
채류, 부추, 일반부추, 1, 0, 360.0
과채류, 딸기, 장희, 1, 0, 1060.0
류, 감귤, 조생귤, 1, 0, 260.0
류, 표고버섯, 표고버섯, 1, 0, 1325.0
류, 호박, 애호박, 1, 0, 412.5
류, 감귤, 조생귤, 1, 0, 160.0
채소류, 풋고추, 청양, 1, 0, 630.0
류, 배, 신고, 1, 0, 306.66666
채류, 열무, 열무, 1, 0, 150.0
류, 배, 신고, 1, 0, 300.0
류, 느타리버섯, 애느타리, 1, 0, 300.0
류, 감귤, 조생귤, 1, 0, 150.0
과채류, 딸기, 설향, 1, 0, 1400.0
과채류, 토마토, 완숙토마토, 1, 0, 150.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 232.5
류, 감귤, 기타감귤, 1, 0, 180.0
류, 느타리버섯, 애느타리, 1, 0, 300.0
채류, 미나리, 돌미나리, 1, 0, 665.0
류, 배, 신고, 1, 0, 220.0
류, 배, 신고, 1, 0, 160.0
류, 감귤, 기타감귤, 1, 0, 342.0
, 고구마, 밤고구마, 1, 0, 175.0
과채류, 딸기, 설향, 1, 0, 1285.0
류, 감귤, 조생귤, 1, 0, 60.0
과채류, 딸기, 설향, 1, 0, 850.0
류, 사과, 미시마, 1, 0, 266.5
, 고구마, 밤고구마, 1, 0, 166.0
과채류, 수박, 수박, 1, 0, 100.0
류, 사과, 미시마, 1, 0, 240.0
채류, 양배추, 양배추, 1, 0, 52.0
채소류, 풋고추, 청양, 1, 0, 740.0
과채류, 수박, 수박, 1, 0, 122.22222
과채류, 수박, 수박, 1, 0, 130.0
채소류, 풋고추, 청양, 1, 0, 740.0
채류, 양배추, 양배추, 1, 0, 32.0
채류, 양배추, 양배추, 1, 0, 40.0
류, 감귤, 천혜향, 1, 0, 370.0
과채류, 수박, 수박, 1, 0, 118.181816
, 고구마, 밤고구마, 1, 0, 166.0
류, 사과, 미얀마, 1, 0, 200.0
류, 표고버섯, 기타표고버섯, 1, 0, 695.0
류, 사과, 미얀마, 1, 0, 114.5
과채류, 메론, 백피계, 1, 0, 800.0
류, 오이, 취청, 1, 0, 210.0
류, 사과, 미얀마, 1, 0, 69.5
과채류, 딸기, 설향, 1, 0, 1700.0
류, 사과, 미얀마, 1, 0, 89.5
류, 사과, 미얀마, 1, 0, 170.0
류, 단감, 부유, 1, 0, 260.0
과채류, 딸기, 기타딸기, 1, 0, 600.0
과채류, 메론, 기타, 1, 0, 587.5
류, 감귤, 기타감귤, 1, 0, 190.0
류, 양송이, 기타양송이, 1, 0, 750.0
과채류, 방울토마토, 대추방울, 1, 0, 400.0
류, 감귤, 기타감귤, 1, 0, 210.0
류, 포도, 샤인마스캇, 1, 0, 450.0
류, 연근, 연근, 1, 0, 162.0
과채류, 방울토마토, 대추방울, 1, 0, 233.33333
과채류, 딸기, 설향, 1, 0, 800.0
과채류, 딸기, 설향, 1, 0, 1050.0
류, 호박, 애호박, 1, 0, 371.25
채류, 무청, 생무청, 1, 0, 125.0
류, 무, 기타무, 1, 0, 60.0
류, 감귤, 조생귤, 1, 0, 170.0
류, 포도, 샤인마스캇, 1, 0, 450.0
과채류, 딸기, 기타딸기, 1, 0, 800.0
채류, 얼갈이배추, 알배기, 1, 0, 110.0
과채류, 딸기, 설향, 1, 0, 1050.0
류, 느타리버섯, 애느타리, 1, 0, 325.0
채류, 얼갈이배추, 알배기, 1, 0, 115.0
류, 포도, 샤인마스캇, 1, 0, 725.0
채류, 얼갈이배추, 알배기, 1, 0, 113.0
류, 포도, 샤인마스캇, 1, 0, 725.0
류, 곶감, 기타곶감, 1, 0, 560.0
류, 감귤, 조생귤, 1, 0, 280.0
과채류, 딸기, 설향, 1, 0, 970.0
류, 단감, 부유, 1, 0, 210.0
류, 배, 신고, 1, 0, 220.0
과채류, 딸기, 설향, 1, 0, 1200.0
과채류, 딸기, 설향, 1, 0, 1260.0
류, 배, 신고, 1, 0, 160.0
류, 감귤, 조생귤, 1, 0, 170.0
류, 취나물, 취나물, 1, 0, 280.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 감귤, 기타감귤, 1, 0, 263.1579
